"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Dallas Cowboys",DAL,"2 out of 5 stars","0 out of 5 stars","75.9","+3"
"5","New York Jets",NYJ,"3 out of 5 stars","4 out of 5 stars","71.5","0"
"8","Pittsburgh Steelers",PIT,"3 out of 5 stars","2 out of 5 stars","69.3","+1"
"9","Cleveland Browns",CLE,"2 out of 5 stars","3 out of 5 stars","69.3","+7"
"2","San Francisco 49ers",SF,"3 out of 5 stars","4 out of 5 stars","69.0","-1"
"11","Cincinnati Bengals",CIN,"0 out of 5 stars","3 out of 5 stars","68.2","+2"
"12","Tampa Bay Buccaneers",TB,"2 out of 5 stars","3 out of 5 stars","68.2","+12"
"19","Seattle Seahawks",SEA,"2 out of 5 stars","3 out of 5 stars","67.1","-1"
"3","Buffalo Bills",BUF,"3 out of 5 stars","2 out of 5 stars","67.0","-1"
"4","Baltimore Ravens",BAL,"1 out of 5 stars","1 out of 5 stars","66.0","+3"
"20","Los Angeles Chargers",LAC,"4 out of 5 stars","4 out of 5 stars","66.0","+1"
"22","Green Bay Packers",GB,"3 out of 5 stars","5 out of 5 stars","66.0","-7"
"23","Houston Texans",HOU,"5 out of 5 stars","4 out of 5 stars","64.9","+8"
"6","Philadelphia Eagles",PHI,"1 out of 5 stars","4 out of 5 stars","64.0","-3"
"7","New Orleans Saints",NO,"5 out of 5 stars","4 out of 5 stars","64.0","+3"
"27","Tennessee Titans",TEN,"2 out of 5 stars","1 out of 5 stars","63.8","-1"
"10","Kansas City Chiefs",KC,"4 out of 5 stars","5 out of 5 stars","63.0","+1"
"28","Carolina Panthers",CAR,"3 out of 5 stars","4 out of 5 stars","62.7","-3"
"13","Jacksonville Jaguars",JAC,"3 out of 5 stars","4 out of 5 stars","62.0","+4"
"14","Miami Dolphins",MIA,"3 out of 5 stars","1 out of 5 stars","62.0","-6"
"15","New England Patriots",NE,"3 out of 5 stars","2 out of 5 stars","62.0","-9"
"16","Denver Broncos",DEN,"1 out of 5 stars","2 out of 5 stars","62.0","-4"
"17","Washington Commanders",WAS,"1 out of 5 stars","1 out of 5 stars","62.0","-3"
"18","Detroit Lions",DET,"5 out of 5 stars","3 out of 5 stars","62.0","+4"
"21","Indianapolis Colts",IND,"5 out of 5 stars","5 out of 5 stars","60.0","+8"
"24","Minnesota Vikings",MIN,"5 out of 5 stars","2 out of 5 stars","59.0","-4"
"25","Atlanta Falcons",ATL,"5 out of 5 stars","5 out of 5 stars","59.0","-"
"26","Los Angeles Rams",LAR,"4 out of 5 stars","5 out of 5 stars","58.0","+1"
"29","New York Giants",NYG,"4 out of 5 stars","3 out of 5 stars","57.0","-10"
"30","Chicago Bears",CHI,"4 out of 5 stars","5 out of 5 stars","56.0","-7"
"31","Arizona Cardinals",ARI,"3 out of 5 stars","3 out of 5 stars","55.0","-1"
"32","Las Vegas Raiders",LV,"1 out of 5 stars","2 out of 5 stars","52.0","-4"
