"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"7","Evan McPherson",CIN,"1 out of 5 stars","1 out of 5 stars","82.5","-4"
"9","Brandon Aubrey",DAL,"2 out of 5 stars","2 out of 5 stars","79.2","+16"
"10","Jason Myers",SEA,"3 out of 5 stars","2 out of 5 stars","79.2","-3"
"12","Dustin Hopkins",CLE,"3 out of 5 stars","2 out of 5 stars","78.1","-"
"15","Ka'imi Fairbairn",HOU,"4 out of 5 stars","5 out of 5 stars","78.1","+28"
"1","Justin Tucker",BAL,"3 out of 5 stars","3 out of 5 stars","78.0","0"
"2","Tyler Bass",BUF,"2 out of 5 stars","2 out of 5 stars","77.0","+3"
"3","Harrison Butker",KC,"3 out of 5 stars","4 out of 5 stars","77.0","+1"
"16","Nick Folk",TEN,"2 out of 5 stars","0 out of 5 stars","75.9","+3"
"18","Greg Zuerlein",NYJ,"2 out of 5 stars","3 out of 5 stars","75.9","-7"
"4","Jake Elliott",PHI,"1 out of 5 stars","2 out of 5 stars","75.0","+4"
"5","Brandon McManus",JAC,"3 out of 5 stars","4 out of 5 stars","75.0","+8"
"6","Jason Sanders",MIA,"4 out of 5 stars","2 out of 5 stars","75.0","+8"
"20","Chris Boswell",PIT,"5 out of 5 stars","5 out of 5 stars","74.8","-4"
"8","Matt Gay",IND,"5 out of 5 stars","2 out of 5 stars","74.0","+4"
"23","Cameron Dicker",LAC,"4 out of 5 stars","3 out of 5 stars","72.6","-13"
"11","Jake Moody",SF,"4 out of 5 stars","5 out of 5 stars","71.0","+4"
"13","Younghoe Koo",ATL,"5 out of 5 stars","5 out of 5 stars","71.0","-7"
"14","Daniel Carlson",LV,"2 out of 5 stars","3 out of 5 stars","71.0","-12"
"26","Eddy Pineiro",CAR,"4 out of 5 stars","3 out of 5 stars","70.4","-2"
"28","Brett Maher",FA,"-","-","69.3","-7"
"17","Matt Prater",ARI,"2 out of 5 stars","2 out of 5 stars","69.0","+5"
"29","Chase McLaughlin",TB,"4 out of 5 stars","3 out of 5 stars","68.2","+5"
"30","Tyler Davis",FA,"-","-","68.2","-"
"19","Greg Joseph",MIN,"4 out of 5 stars","3 out of 5 stars","68.0","+1"
"21","Blake Grupe",NO,"4 out of 5 stars","3 out of 5 stars","68.0","+11"
"31","Ryan Succop",FA,"-","-","67.1","+14"
"22","Wil Lutz",DEN,"1 out of 5 stars","3 out of 5 stars","66.0","-4"
"24","Riley Patterson",DET,"4 out of 5 stars","2 out of 5 stars","65.0","-7"
"25","Graham Gano",NYG,"4 out of 5 stars","3 out of 5 stars","65.0","-16"
"27","Cairo Santos",CHI,"2 out of 5 stars","3 out of 5 stars","63.0","0"
"32","Lucas Havrisik",LAR,"3 out of 5 stars","4 out of 5 stars","60.0","-"
"33","Rodrigo Blankenship",FA,"-","-","0.0","+15"
"34","Robbie Gould",FA,"-","-","0.0","+8"
"35","Anders Carlson",GB,"2 out of 5 stars","3 out of 5 stars","0.0","-6"
"36","Chad Ryland",NE,"3 out of 5 stars","2 out of 5 stars","0.0","-10"
"37","Joey Slye",WAS,"2 out of 5 stars","4 out of 5 stars","0.0","+1"
"38","Mason Crosby",FA,"-","-","0.0","-7"
"39","Randy Bullock",FA,"-","-","0.0","+13"
"40","Cade York",TEN,"2 out of 5 stars","0 out of 5 stars","0.0","+1"
"41","Michael Badgley",DET,"4 out of 5 stars","2 out of 5 stars","-","-18"
"42","Tanner Brown",FA,"-","-","-","-5"
"43","Caleb Shudak",FA,"-","-","-","+10"
"44","Tristan Vizcaino",FA,"-","-","-","-16"
