"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Jalen Hurts",PHI,"2 out of 5 stars","5 out of 5 stars","225.0","+1"
"2","Josh Allen",BUF,"3 out of 5 stars","4 out of 5 stars","223.0","+1"
"5","Justin Herbert",LAC,"4 out of 5 stars","3 out of 5 stars","222.2","+1"
"3","Patrick Mahomes II",KC,"4 out of 5 stars","3 out of 5 stars","221.0","-2"
"4","Lamar Jackson",BAL,"4 out of 5 stars","3 out of 5 stars","205.0","0"
"7","Joe Burrow",CIN,"1 out of 5 stars","2 out of 5 stars","204.6","-2"
"6","Tua Tagovailoa",MIA,"2 out of 5 stars","0 out of 5 stars","194.0","+5"
"13","C.J. Stroud",HOU,"4 out of 5 stars","4 out of 5 stars","188.1","+11"
"14","Geno Smith",SEA,"1 out of 5 stars","4 out of 5 stars","184.8","+1"
"8","Trevor Lawrence",JAC,"1 out of 5 stars","1 out of 5 stars","181.0","0"
"17","Dak Prescott",DAL,"4 out of 5 stars","3 out of 5 stars","180.4","-7"
"18","Jordan Love",GB,"3 out of 5 stars","2 out of 5 stars","178.2","+8"
"9","Justin Fields",CHI,"4 out of 5 stars","4 out of 5 stars","175.0","-2"
"10","Jared Goff",DET,"5 out of 5 stars","3 out of 5 stars","174.0","+7"
"11","Brock Purdy",SF,"4 out of 5 stars","4 out of 5 stars","174.0","+8"
"12","Kirk Cousins",MIN,"4 out of 5 stars","4 out of 5 stars","173.0","+2"
"15","Matthew Stafford",LAR,"3 out of 5 stars","3 out of 5 stars","165.0","+8"
"19","Sam Howell",WAS,"3 out of 5 stars","1 out of 5 stars","165.0","+9"
"16","Russell Wilson",DEN,"4 out of 5 stars","5 out of 5 stars","164.0","+2"
"20","Deshaun Watson",CLE,"4 out of 5 stars","3 out of 5 stars","160.6","-11"
"23","Baker Mayfield",TB,"2 out of 5 stars","2 out of 5 stars","155.1","+8"
"26","Bryce Young",CAR,"3 out of 5 stars","3 out of 5 stars","149.6","-4"
"28","Kenny Pickett",PIT,"4 out of 5 stars","3 out of 5 stars","144.1","-8"
"21","Daniel Jones",NYG,"2 out of 5 stars","2 out of 5 stars","144.0","-8"
"22","Kyler Murray",ARI,"2 out of 5 stars","4 out of 5 stars","141.0","+3"
"24","Derek Carr",NO,"3 out of 5 stars","3 out of 5 stars","139.0","-3"
"25","Gardner Minshew II",IND,"2 out of 5 stars","2 out of 5 stars","136.0","-"
"27","Desmond Ridder",ATL,"3 out of 5 stars","3 out of 5 stars","134.0","+5"
"29","Jimmy Garoppolo",LV,"4 out of 5 stars","3 out of 5 stars","129.0","-2"
"32","Zach Wilson",NYJ,"4 out of 5 stars","4 out of 5 stars","123.2","+11"
"30","Mac Jones",NE,"4 out of 5 stars","3 out of 5 stars","120.0","-1"
"31","Joshua Dobbs",ARI,"2 out of 5 stars","4 out of 5 stars","117.0","+8"
"33","Ryan Tannehill",TEN,"3 out of 5 stars","3 out of 5 stars","40.7","-3"
"34","Malik Willis",TEN,"3 out of 5 stars","3 out of 5 stars","39.6","-"
"36","Will Levis",TEN,"3 out of 5 stars","3 out of 5 stars","27.5","-"
"37","Tyson Bagent",CHI,"4 out of 5 stars","4 out of 5 stars","26.4","-"
"38","Aidan O'Connell",LV,"4 out of 5 stars","3 out of 5 stars","25.3","0"
"35","Tyrod Taylor",NYG,"2 out of 5 stars","2 out of 5 stars","25.0","-"
"39","Taylor Heinicke",ATL,"3 out of 5 stars","3 out of 5 stars","23.0","-"
"40","P.J. Walker",CLE,"4 out of 5 stars","3 out of 5 stars","19.8","-"
"41","Jameis Winston",NO,"3 out of 5 stars","3 out of 5 stars","17.0","-"
"42","Jacoby Brissett",WAS,"3 out of 5 stars","1 out of 5 stars","17.0","-"
"43","Andy Dalton",CAR,"3 out of 5 stars","3 out of 5 stars","16.5","-"
"45","Bailey Zappe",NE,"4 out of 5 stars","3 out of 5 stars","15.4","-"
"46","Kyle Trask",TB,"2 out of 5 stars","2 out of 5 stars","14.3","-4"
"44","Sam Darnold",SF,"4 out of 5 stars","4 out of 5 stars","14.0","+3"
"48","Mitch Trubisky",PIT,"4 out of 5 stars","3 out of 5 stars","13.2","+8"
"49","Dorian Thompson-Robinson",CLE,"4 out of 5 stars","3 out of 5 stars","13.2","-"
"50","Trey Lance",DAL,"4 out of 5 stars","3 out of 5 stars","13.2","-17"
"51","Malik Cunningham",NE,"4 out of 5 stars","3 out of 5 stars","13.2","-14"
"47","Mike White",MIA,"2 out of 5 stars","0 out of 5 stars","13.0","+2"
"53","Trevor Siemian",NYJ,"4 out of 5 stars","4 out of 5 stars","12.1","-"
"54","Carson Wentz",FA,"-","-","12.1","-"
"52","Jarrett Stidham",DEN,"4 out of 5 stars","5 out of 5 stars","12.0","-"
"57","Clayton Tune",ARI,"2 out of 5 stars","4 out of 5 stars","11.0","-12"
"55","Tyler Huntley",BAL,"4 out of 5 stars","3 out of 5 stars","10.0","-"
"56","Teddy Bridgewater",DET,"5 out of 5 stars","3 out of 5 stars","10.0","+9"
"58","Stetson Bennett",LAR,"3 out of 5 stars","3 out of 5 stars","9.9","-8"
"59","Marcus Mariota",PHI,"2 out of 5 stars","5 out of 5 stars","9.0","-6"
"60","Davis Mills",HOU,"4 out of 5 stars","4 out of 5 stars","8.8","-"
"61","Cooper Rush",DAL,"4 out of 5 stars","3 out of 5 stars","8.8","-1"
"62","Case Keenum",HOU,"4 out of 5 stars","4 out of 5 stars","8.8","-"
"63","Drew Lock",SEA,"1 out of 5 stars","4 out of 5 stars","8.8","+3"
"64","Sean Clifford",GB,"3 out of 5 stars","2 out of 5 stars","8.8","+3"
"65","Tanner McKee",PHI,"2 out of 5 stars","5 out of 5 stars","8.8","-"
"66","Hendon Hooker",DET,"5 out of 5 stars","3 out of 5 stars","7.7","+2"
"67","Jake Haener",NO,"3 out of 5 stars","3 out of 5 stars","6.6","-"
"68","Jaren Hall",MIN,"4 out of 5 stars","4 out of 5 stars","6.6","-"
"69","Matt Ryan",FA,"-","-","5.5","-21"
"70","Skylar Thompson",MIA,"2 out of 5 stars","0 out of 5 stars","5.5","-"
"71","Brandon Allen",SF,"4 out of 5 stars","4 out of 5 stars","4.0","-"
"72","Kyle Allen",BUF,"3 out of 5 stars","4 out of 5 stars","3.0","-32"
"73","Nick Mullens",MIN,"4 out of 5 stars","4 out of 5 stars","3.0","-"
"75","Blaine Gabbert",KC,"4 out of 5 stars","3 out of 5 stars","2.2","-16"
"74","C.J. Beathard",JAC,"1 out of 5 stars","1 out of 5 stars","2.0","-"
"76","Sam Ehlinger",IND,"2 out of 5 stars","2 out of 5 stars","1.1","-"
"77","Feleipe Franks",ATL,"3 out of 5 stars","3 out of 5 stars","0.0","-"
"78","Logan Woodside",ATL,"3 out of 5 stars","3 out of 5 stars","0.0","-"
"79","Easton Stick",LAC,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"80","Mason Rudolph",PIT,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"81","Jake Browning",CIN,"1 out of 5 stars","2 out of 5 stars","0.0","-23"
"82","Brian Hoyer",LV,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"83","Will Grier",NE,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"84","Ben DiNucci",DEN,"4 out of 5 stars","5 out of 5 stars","0.0","-"
"85","Brett Rypien",LAR,"3 out of 5 stars","3 out of 5 stars","0.0","-"
"86","Jake Fromm",WAS,"3 out of 5 stars","1 out of 5 stars","0.0","-"
"87","Tim Boyle",NYJ,"4 out of 5 stars","4 out of 5 stars","0.0","-"
"88","John Wolford",TB,"2 out of 5 stars","2 out of 5 stars","0.0","-"
"89","Chris Oladokun",KC,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"90","David Blough",DET,"5 out of 5 stars","3 out of 5 stars","0.0","-"
"91","Nathan Peterman",CHI,"4 out of 5 stars","4 out of 5 stars","0.0","-"
"92","Shane Buechele",BUF,"3 out of 5 stars","4 out of 5 stars","0.0","-"
"93","Josh Johnson",BAL,"4 out of 5 stars","3 out of 5 stars","0.0","-"
"94","Kellen Mond",IND,"2 out of 5 stars","2 out of 5 stars","-","-"
"95","Trace McSorley",CHI,"4 out of 5 stars","4 out of 5 stars","-","-34"
"96","Jeff Driskel",FA,"-","-","-","-"
"97","Jake Luton",CAR,"3 out of 5 stars","3 out of 5 stars","-","-35"
"98","Matt Barkley",FA,"-","-","-","-43"
"99","Reid Sinnett",FA,"-","-","-","-"
"100","Anthony Brown",FA,"-","-","-","-"
"101","Matt Corral",FA,"-","-","-","-"
"102","Colt McCoy",FA,"-","-","-","-"
"103","Ian Book",FA,"-","-","-","-"
"104","Chris Streveler",FA,"-","-","-","-"
"105","Chase Garbers",FA,"-","-","-","-"
