"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"2","Austin Ekeler",LAC,"4 out of 5 stars","4 out of 5 stars","198.0","0"
"1","Christian McCaffrey",SF,"2 out of 5 stars","3 out of 5 stars","183.0","0"
"4","Bijan Robinson",ATL,"3 out of 5 stars","5 out of 5 stars","171.6","0"
"5","Tony Pollard",DAL,"3 out of 5 stars","4 out of 5 stars","168.3","+3"
"6","Kenneth Walker III",SEA,"2 out of 5 stars","2 out of 5 stars","163.9","+10"
"7","Breece Hall",NYJ,"4 out of 5 stars","4 out of 5 stars","162.8","+8"
"3","Travis Etienne Jr.",JAC,"4 out of 5 stars","4 out of 5 stars","157.0","+7"
"8","D'Andre Swift",PHI,"2 out of 5 stars","3 out of 5 stars","147.0","+22"
"13","Derrick Henry",TEN,"4 out of 5 stars","2 out of 5 stars","137.5","-7"
"9","Alvin Kamara",NO,"3 out of 5 stars","3 out of 5 stars","136.0","+13"
"10","Saquon Barkley",NYG,"3 out of 5 stars","2 out of 5 stars","136.0","-7"
"11","Josh Jacobs",LV,"2 out of 5 stars","3 out of 5 stars","135.0","-4"
"15","Joe Mixon",CIN,"3 out of 5 stars","2 out of 5 stars","134.2","-2"
"17","Aaron Jones",GB,"3 out of 5 stars","4 out of 5 stars","130.9","-3"
"12","Jonathan Taylor",IND,"4 out of 5 stars","4 out of 5 stars","128.0","+6"
"20","Jahmyr Gibbs",DET,"4 out of 5 stars","2 out of 5 stars","127.6","-8"
"14","David Montgomery",DET,"4 out of 5 stars","2 out of 5 stars","124.0","+17"
"16","Raheem Mostert",MIA,"2 out of 5 stars","2 out of 5 stars","122.0","+25"
"23","Rachaad White",TB,"4 out of 5 stars","4 out of 5 stars","118.8","+1"
"18","James Cook",BUF,"2 out of 5 stars","2 out of 5 stars","118.0","+9"
"19","Isiah Pacheco",KC,"5 out of 5 stars","4 out of 5 stars","117.0","+10"
"26","Dameon Pierce",HOU,"3 out of 5 stars","2 out of 5 stars","115.5","-9"
"21","Rhamondre Stevenson",NE,"4 out of 5 stars","3 out of 5 stars","114.0","-10"
"22","Kyren Williams",LAR,"3 out of 5 stars","3 out of 5 stars","110.0","+59"
"28","Jerome Ford",CLE,"3 out of 5 stars","3 out of 5 stars","110.0","+46"
"24","Brian Robinson Jr.",WAS,"2 out of 5 stars","2 out of 5 stars","108.0","+12"
"25","Javonte Williams",DEN,"2 out of 5 stars","2 out of 5 stars","106.0","+3"
"27","Alexander Mattison",MIN,"5 out of 5 stars","4 out of 5 stars","105.0","-7"
"30","Najee Harris",PIT,"3 out of 5 stars","3 out of 5 stars","103.4","-21"
"31","Jaylen Warren",PIT,"3 out of 5 stars","3 out of 5 stars","103.4","+14"
"32","De'Von Achane",MIA,"2 out of 5 stars","2 out of 5 stars","103.4","+8"
"33","Tyjae Spears",TEN,"4 out of 5 stars","2 out of 5 stars","101.2","+29"
"34","Jaleel McLaughlin",DEN,"2 out of 5 stars","2 out of 5 stars","101.2","+69"
"36","Roschon Johnson",CHI,"2 out of 5 stars","3 out of 5 stars","99.0","+16"
"29","James Conner",ARI,"2 out of 5 stars","2 out of 5 stars","96.0","-4"
"37","Chuba Hubbard",CAR,"3 out of 5 stars","4 out of 5 stars","90.2","+24"
"35","Zack Moss",IND,"4 out of 5 stars","4 out of 5 stars","90.0","+32"
"39","Zach Charbonnet",SEA,"2 out of 5 stars","2 out of 5 stars","81.4","-1"
"41","Kareem Hunt",CLE,"3 out of 5 stars","3 out of 5 stars","78.1","+13"
"43","Miles Sanders",CAR,"3 out of 5 stars","4 out of 5 stars","74.8","-24"
"38","Tyler Allgeier",ATL,"3 out of 5 stars","5 out of 5 stars","74.0","+9"
"45","AJ Dillon",GB,"3 out of 5 stars","4 out of 5 stars","72.6","-13"
"47","Emari Demercado",ARI,"2 out of 5 stars","2 out of 5 stars","71.5","-"
"40","Gus Edwards",BAL,"3 out of 5 stars","4 out of 5 stars","71.0","+19"
"42","Justice Hill",BAL,"3 out of 5 stars","4 out of 5 stars","69.0","-"
"44","Khalil Herbert",CHI,"2 out of 5 stars","3 out of 5 stars","68.0","-11"
"46","Kenneth Gainwell",PHI,"2 out of 5 stars","3 out of 5 stars","66.0","+4"
"52","Joshua Kelley",LAC,"4 out of 5 stars","4 out of 5 stars","66.0","+21"
"48","Antonio Gibson",WAS,"2 out of 5 stars","2 out of 5 stars","64.0","-13"
"49","D'Onta Foreman",CHI,"2 out of 5 stars","3 out of 5 stars","63.0","+4"
"50","Cam Akers",MIN,"5 out of 5 stars","4 out of 5 stars","61.0","-27"
"51","Jeff Wilson Jr.",MIA,"2 out of 5 stars","2 out of 5 stars","61.0","+4"
"54","Devin Singletary",HOU,"3 out of 5 stars","2 out of 5 stars","59.4","-6"
"57","Tank Bigsby",JAC,"4 out of 5 stars","4 out of 5 stars","57.2","-11"
"53","Jerick McKinnon",KC,"5 out of 5 stars","4 out of 5 stars","57.0","-14"
"61","Rico Dowdle",DAL,"3 out of 5 stars","4 out of 5 stars","53.9","+44"
"55","Ezekiel Elliott",NE,"4 out of 5 stars","3 out of 5 stars","53.0","-13"
