"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Travis Kelce",KC,"4 out of 5 stars","4 out of 5 stars","167.0","0"
"2","Mark Andrews",BAL,"4 out of 5 stars","3 out of 5 stars","120.0","0"
"3","T.J. Hockenson",MIN,"3 out of 5 stars","3 out of 5 stars","118.0","0"
"4","Sam LaPorta",DET,"3 out of 5 stars","3 out of 5 stars","114.4","+14"
"5","Dallas Goedert",PHI,"3 out of 5 stars","3 out of 5 stars","100.0","+2"
"6","Darren Waller",NYG,"5 out of 5 stars","5 out of 5 stars","95.0","-1"
"7","Evan Engram",JAC,"2 out of 5 stars","2 out of 5 stars","92.0","+1"
"8","George Kittle",SF,"3 out of 5 stars","3 out of 5 stars","89.0","-4"
"9","Kyle Pitts",ATL,"2 out of 5 stars","3 out of 5 stars","88.0","-3"
"12","Jake Ferguson",DAL,"5 out of 5 stars","3 out of 5 stars","85.8","+14"
"10","Cole Kmet",CHI,"3 out of 5 stars","2 out of 5 stars","83.0","+3"
"13","Dalton Kincaid",BUF,"3 out of 5 stars","4 out of 5 stars","82.5","-1"
"11","Logan Thomas",WAS,"4 out of 5 stars","3 out of 5 stars","82.0","-"
"14","Dalton Schultz",HOU,"2 out of 5 stars","3 out of 5 stars","81.4","-3"
"15","Luke Musgrave",GB,"3 out of 5 stars","2 out of 5 stars","80.3","+10"
"16","David Njoku",CLE,"3 out of 5 stars","4 out of 5 stars","79.2","-7"
"17","Jonnu Smith",ATL,"2 out of 5 stars","3 out of 5 stars","72.0","+49"
"20","Gerald Everett",LAC,"2 out of 5 stars","2 out of 5 stars","71.5","-3"
"21","Michael Mayer",LV,"2 out of 5 stars","2 out of 5 stars","71.5","+6"
"23","Cade Otton",TB,"3 out of 5 stars","3 out of 5 stars","70.4","+9"
"18","Tyler Higbee",LAR,"3 out of 5 stars","4 out of 5 stars","69.0","-4"
"19","Hunter Henry",NE,"3 out of 5 stars","2 out of 5 stars","69.0","+11"
"24","Pat Freiermuth",PIT,"3 out of 5 stars","3 out of 5 stars","68.2","-14"
"26","Hayden Hurst",CAR,"3 out of 5 stars","3 out of 5 stars","68.2","+2"
"27","Chigoziem Okonkwo",TEN,"3 out of 5 stars","4 out of 5 stars","68.2","-11"
"28","Tyler Conklin",NYJ,"4 out of 5 stars","4 out of 5 stars","68.2","-4"
"22","Taysom Hill",NO,"3 out of 5 stars","3 out of 5 stars","64.0","0"
"30","Noah Fant",SEA,"3 out of 5 stars","4 out of 5 stars","63.8","+1"
"25","Trey McBride",ARI,"4 out of 5 stars","4 out of 5 stars","62.0","+10"
"29","Zach Ertz",ARI,"4 out of 5 stars","4 out of 5 stars","61.0","-8"
"31","Juwan Johnson",NO,"3 out of 5 stars","3 out of 5 stars","57.0","-16"
"32","Dawson Knox",BUF,"3 out of 5 stars","4 out of 5 stars","55.0","-12"
"33","Mike Gesicki",NE,"3 out of 5 stars","2 out of 5 stars","50.0","-10"
"35","Irv Smith Jr.",CIN,"2 out of 5 stars","2 out of 5 stars","45.1","-6"
"36","Donald Parham Jr.",LAC,"2 out of 5 stars","2 out of 5 stars","45.1","-"
"34","Kylen Granson",IND,"3 out of 5 stars","2 out of 5 stars","42.0","-"
"37","Adam Trautman",DEN,"3 out of 5 stars","3 out of 5 stars","35.0","-"
"38","Noah Gray",KC,"4 out of 5 stars","4 out of 5 stars","34.0","+2"
"39","Durham Smythe",MIA,"3 out of 5 stars","2 out of 5 stars","33.0","+16"
"42","Colby Parkinson",SEA,"3 out of 5 stars","4 out of 5 stars","33.0","-"
"40","Isaiah Likely",BAL,"4 out of 5 stars","3 out of 5 stars","31.0","-7"
"41","Robert Tonyan",CHI,"3 out of 5 stars","2 out of 5 stars","31.0","+21"
"47","Will Dissly",SEA,"3 out of 5 stars","4 out of 5 stars","30.8","-"
"43","Austin Hooper",LV,"2 out of 5 stars","2 out of 5 stars","30.0","-"
"49","Jeremy Ruckert",NYJ,"4 out of 5 stars","4 out of 5 stars","29.7","-"
"44","Greg Dulcich",DEN,"3 out of 5 stars","3 out of 5 stars","29.0","-25"
"51","Cole Turner",WAS,"4 out of 5 stars","3 out of 5 stars","28.6","-"
"52","Tucker Kraft",GB,"3 out of 5 stars","2 out of 5 stars","28.6","0"
"45","Jelani Woods",IND,"3 out of 5 stars","2 out of 5 stars","28.0","+6"
"46","Foster Moreau",NO,"3 out of 5 stars","3 out of 5 stars","28.0","-"
"53","Darnell Washington",PIT,"3 out of 5 stars","3 out of 5 stars","27.5","-17"
"54","Luke Schoonmaker",DAL,"5 out of 5 stars","3 out of 5 stars","27.5","-15"
"48","Daniel Bellinger",NYG,"5 out of 5 stars","5 out of 5 stars","27.0","-1"
"55","Jordan Akins",CLE,"3 out of 5 stars","4 out of 5 stars","26.4","-"
"56","Tommy Tremble",CAR,"3 out of 5 stars","3 out of 5 stars","26.4","-"
"50","Josh Oliver",MIN,"3 out of 5 stars","3 out of 5 stars","26.0","+8"
"59","Brenton Strange",JAC,"2 out of 5 stars","2 out of 5 stars","25.3","-"
"60","Harrison Bryant",CLE,"3 out of 5 stars","4 out of 5 stars","25.3","-"
"61","Julian Hill",MIA,"3 out of 5 stars","2 out of 5 stars","25.3","-"
"57","Jimmy Graham",NO,"3 out of 5 stars","3 out of 5 stars","24.0","-23"
"58","Mo Alie-Cox",IND,"3 out of 5 stars","2 out of 5 stars","24.0","-"
"62","C.J. Uzomah",NYJ,"4 out of 5 stars","4 out of 5 stars","23.1","-12"
"63","Brevin Jordan",HOU,"2 out of 5 stars","3 out of 5 stars","23.1","-"
"64","Connor Heyward",PIT,"3 out of 5 stars","3 out of 5 stars","22.0","-20"
"66","Josiah Deguara",GB,"3 out of 5 stars","2 out of 5 stars","20.9","-"
"67","Peyton Hendershot",DAL,"5 out of 5 stars","3 out of 5 stars","20.9","-7"
"65","John Bates",WAS,"4 out of 5 stars","3 out of 5 stars","20.0","-"
"70","Ian Thomas",CAR,"3 out of 5 stars","3 out of 5 stars","19.8","-"
"72","Giovanni Ricci",CAR,"3 out of 5 stars","3 out of 5 stars","19.8","-"
"74","Quintin Morris",BUF,"3 out of 5 stars","4 out of 5 stars","18.7","-"
"75","Teagan Quitoriano",HOU,"2 out of 5 stars","3 out of 5 stars","18.7","-"
"76","Josh Whyle",TEN,"3 out of 5 stars","4 out of 5 stars","18.7","-"
"68","Pharaoh Brown",NE,"3 out of 5 stars","2 out of 5 stars","18.0","-"
