"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"2","Ja'Marr Chase",CIN,"4 out of 5 stars","3 out of 5 stars","198.0","0"
"1","Tyreek Hill",MIA,"3 out of 5 stars","2 out of 5 stars","191.0","+2"
"5","Keenan Allen",LAC,"4 out of 5 stars","4 out of 5 stars","179.3","+14"
"3","Stefon Diggs",BUF,"3 out of 5 stars","3 out of 5 stars","176.0","+1"
"4","A.J. Brown",PHI,"4 out of 5 stars","3 out of 5 stars","168.0","+4"
"9","CeeDee Lamb",DAL,"3 out of 5 stars","4 out of 5 stars","165.0","-4"
"6","Amon-Ra St. Brown",DET,"3 out of 5 stars","3 out of 5 stars","162.0","+4"
"10","Puka Nacua",LAR,"2 out of 5 stars","3 out of 5 stars","161.7","+91"
"7","Cooper Kupp",LAR,"2 out of 5 stars","3 out of 5 stars","161.0","0"
"8","Davante Adams",LV,"3 out of 5 stars","4 out of 5 stars","151.0","-2"
"14","DK Metcalf",SEA,"3 out of 5 stars","4 out of 5 stars","147.4","+1"
"11","Brandon Aiyuk",SF,"2 out of 5 stars","4 out of 5 stars","141.0","+17"
"19","Nico Collins",HOU,"4 out of 5 stars","4 out of 5 stars","140.8","+39"
"20","Mike Evans",TB,"4 out of 5 stars","2 out of 5 stars","139.7","+12"
"12","Chris Olave",NO,"2 out of 5 stars","2 out of 5 stars","135.0","0"
"13","Jaylen Waddle",MIA,"3 out of 5 stars","2 out of 5 stars","135.0","-2"
"15","DJ Moore",CHI,"4 out of 5 stars","2 out of 5 stars","134.0","+5"
"22","Adam Thielen",CAR,"3 out of 5 stars","2 out of 5 stars","133.1","+28"
"16","DeVonta Smith",PHI,"4 out of 5 stars","3 out of 5 stars","133.0","-3"
"23","Amari Cooper",CLE,"3 out of 5 stars","4 out of 5 stars","132.0","-5"
"24","Chris Godwin",TB,"4 out of 5 stars","2 out of 5 stars","130.9","+1"
"26","Garrett Wilson",NYJ,"3 out of 5 stars","2 out of 5 stars","130.9","-17"
