"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"vs. TB","2 out of 5 stars","A+","20.4"
"2","Austin Ekeler",LAC,"at GB","4 out of 5 stars","A+","17.5"
"3","Travis Etienne Jr.",JAC,"vs. TEN","3 out of 5 stars","A+","15.0"
"4","Josh Jacobs",LV,"at MIA","5 out of 5 stars","A","14.2"
"5","Jahmyr Gibbs",DET,"vs. CHI","2 out of 5 stars","A","14.2"
"6","Tony Pollard",DAL,"at CAR","4 out of 5 stars","A","13.9"
"7","Breece Hall",NYJ,"at BUF","4 out of 5 stars","A","13.4"
"8","D'Andre Swift",PHI,"at KC","2 out of 5 stars","A","13.2"
"9","Javonte Williams",DEN,"vs. MIN","2 out of 5 stars","A","13.0"
"10","Aaron Jones",GB,"vs. LAC","2 out of 5 stars","A-","12.9"
"11","Kenneth Walker III",SEA,"at LAR","3 out of 5 stars","A-","12.7"
"12","De'Von Achane",MIA,"vs. LV","5 out of 5 stars","A-","12.5"
"13","David Montgomery",DET,"vs. CHI","2 out of 5 stars","B+","12.5"
"14","Joe Mixon",CIN,"at BAL","3 out of 5 stars","B","12.3"
"15","Saquon Barkley",NYG,"at WAS","3 out of 5 stars","B","12.2"
"16","Brian Robinson Jr.",WAS,"vs. NYG","4 out of 5 stars","B","11.8"
"17","Derrick Henry",TEN,"at JAC","3 out of 5 stars","B","11.7"
"18","Raheem Mostert",MIA,"vs. LV","5 out of 5 stars","B+","11.7"
"19","Devin Singletary",HOU,"vs. ARI","4 out of 5 stars","B","11.6"
"20","James Conner",ARI,"at HOU","3 out of 5 stars","B","11.6"
"21","Isiah Pacheco",KC,"vs. PHI","2 out of 5 stars","B","11.4"
"22","Rachaad White",TB,"at SF","2 out of 5 stars","B-","11.4"
"23","Jerome Ford",CLE,"vs. PIT","3 out of 5 stars","B-","11.1"
"24","James Cook",BUF,"vs. NYJ","2 out of 5 stars","B-","10.7"
"25","Ty Chandler",MIN,"at DEN","4 out of 5 stars","C+","10.1"
"26","Jaylen Warren",PIT,"at CLE","2 out of 5 stars","C+","10.1"
"27","Gus Edwards",BAL,"vs. CIN","4 out of 5 stars","C+","9.9"
"28","Darrell Henderson Jr.",LAR,"vs. SEA","3 out of 5 stars","C+","9.4"
"29","Najee Harris",PIT,"at CLE","2 out of 5 stars","C","9.3"
"30","Chuba Hubbard",CAR,"vs. DAL","2 out of 5 stars","C","9.0"
"31","Keaton Mitchell",BAL,"vs. CIN","4 out of 5 stars","C","8.4"
"32","Kareem Hunt",CLE,"vs. PIT","3 out of 5 stars","C","7.5"
"33","D'Onta Foreman",CHI,"at DET","3 out of 5 stars","C","7.5"
"34","Royce Freeman",LAR,"vs. SEA","3 out of 5 stars","C","7.3"
"35","Zach Charbonnet",SEA,"at LAR","3 out of 5 stars","C","7.3"
"36","AJ Dillon",GB,"vs. LAC","2 out of 5 stars","C","7.1"
"37","Tyjae Spears",TEN,"at JAC","3 out of 5 stars","C-","6.9"
