"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dak Prescott",DAL,"at WAS","5 out of 5 stars","A+","22.3"
"2","Josh Allen",BUF,"at MIA","4 out of 5 stars","A+","20.9"
"3","Justin Fields",CHI,"at GB","5 out of 5 stars","A","19.7"
"4","Jalen Hurts",PHI,"at NYG","3 out of 5 stars","A","18.7"
"5","C.J. Stroud",HOU,"at IND","3 out of 5 stars","A","18.0"
"6","Kyler Murray",ARI,"vs. SEA","3 out of 5 stars","A-","17.6"
"7","Geno Smith",SEA,"at ARI","5 out of 5 stars","B+","17.4"
"8","Jordan Love",GB,"vs. CHI","4 out of 5 stars","B","17.2"
"9","Tua Tagovailoa",MIA,"vs. BUF","2 out of 5 stars","B","16.8"
"10","Trevor Lawrence",JAC,"at TEN","4 out of 5 stars","B-","16.6"
"11","Jared Goff",DET,"vs. MIN","2 out of 5 stars","C+","16.3"
"12","Gardner Minshew II",IND,"vs. HOU","4 out of 5 stars","C+","15.9"
"13","Derek Carr",NO,"vs. ATL","3 out of 5 stars","C+","15.7"
"14","Jake Browning",CIN,"vs. CLE","2 out of 5 stars","C","15.4"
"15","Nick Mullens",MIN,"at DET","5 out of 5 stars","C-","15.2"
"16","Baker Mayfield",TB,"at CAR","2 out of 5 stars","C","14.9"
"17","Tyrod Taylor",NYG,"vs. PHI","4 out of 5 stars","C-","14.7"
"18","Jarrett Stidham",DEN,"at LV","3 out of 5 stars","D+","14.6"
"19","Easton Stick",LAC,"vs. KC","2 out of 5 stars","D+","14.4"
"20","Sam Howell",WAS,"vs. DAL","2 out of 5 stars","D","14.3"
"21","Aidan O'Connell",LV,"vs. DEN","4 out of 5 stars","D-","14.2"
"22","Taylor Heinicke",ATL,"at NO","2 out of 5 stars","F","14.1"
"23","Sam Darnold",SF,"vs. LAR","3 out of 5 stars","F","13.9"
"24","Mason Rudolph",PIT,"at BAL","1 out of 5 stars","F","13.8"
"25","Bryce Young",CAR,"vs. TB","3 out of 5 stars","F","13.5"
"26","Tyler Huntley",BAL,"vs. PIT","3 out of 5 stars","F","13.1"
"27","Bailey Zappe",NE,"vs. NYJ","2 out of 5 stars","F","12.7"
"28","Carson Wentz",LAR,"at SF","1 out of 5 stars","F","12.3"
"29","Blaine Gabbert",KC,"at LAC","4 out of 5 stars","F","11.8"
"30","Trevor Siemian",NYJ,"at NE","2 out of 5 stars","F","11.3"
"31","Jeff Driskel",CLE,"at CIN","3 out of 5 stars","F","10.8"
"32","Ryan Tannehill",TEN,"vs. JAC","3 out of 5 stars","F","10.2"
"33","Will Levis",TEN,"vs. JAC","3 out of 5 stars","F","6.6"
"34","Patrick Mahomes II",KC,"at LAC","4 out of 5 stars","F","4.2"
"35","Matthew Stafford",LAR,"at SF","1 out of 5 stars","F","3.8"
"36","Joe Flacco",CLE,"at CIN","3 out of 5 stars","F","0.0"
"37","Lamar Jackson",BAL,"vs. PIT","3 out of 5 stars","F","0.0"
"38","Brock Purdy",SF,"vs. LAR","3 out of 5 stars","F","0.0"
"39","Desmond Ridder",ATL,"at NO","2 out of 5 stars","F","0.0"
"40","Jaren Hall",MIN,"at DET","5 out of 5 stars","F","0.0"
"41","Marcus Mariota",PHI,"at NYG","3 out of 5 stars","F","0.0"
"42","C.J. Beathard",JAC,"at TEN","4 out of 5 stars","F","0.0"
"43","P.J. Walker",CLE,"at CIN","3 out of 5 stars","F","0.0"
"44","Teddy Bridgewater",DET,"vs. MIN","2 out of 5 stars","F","0.0"
"45","Jacoby Brissett",WAS,"vs. DAL","2 out of 5 stars","F","0.0"
