"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Tyreek Hill",MIA,"at BUF","4 out of 5 stars","A+","18.7"
"2","Justin Jefferson",MIN,"at CAR","4 out of 5 stars","A+","18.2"
"3","Keenan Allen",LAC,"vs. LV","4 out of 5 stars","A+","17.0"
"4","Davante Adams",LV,"at LAC","2 out of 5 stars","A+","16.7"
"5","Ja'Marr Chase",CIN,"at TEN","4 out of 5 stars","A+","16.1"
"6","Stefon Diggs",BUF,"vs. MIA","2 out of 5 stars","A+","15.0"
"7","Amon-Ra St. Brown",DET,"at GB","2 out of 5 stars","A","14.8"
"8","A.J. Brown",PHI,"vs. WAS","3 out of 5 stars","A","13.9"
"9","CeeDee Lamb",DAL,"vs. NE","3 out of 5 stars","A","13.3"
"10","Puka Nacua",LAR,"at IND","4 out of 5 stars","A","13.3"
"11","Chris Olave",NO,"vs. TB","3 out of 5 stars","A","13.1"
"12","Deebo Samuel",SF,"vs. ARI","4 out of 5 stars","A","12.8"
"13","Calvin Ridley",JAC,"vs. ATL","4 out of 5 stars","A","12.7"
"14","DeVonta Smith",PHI,"vs. WAS","3 out of 5 stars","A-","12.7"
"15","Tee Higgins",CIN,"at TEN","4 out of 5 stars","A","12.6"
"16","DK Metcalf",SEA,"at NYG","2 out of 5 stars","A-","11.9"
"17","Jaylen Waddle",MIA,"at BUF","4 out of 5 stars","A-","11.9"
"18","Michael Pittman Jr.",IND,"vs. LAR","3 out of 5 stars","A-","11.8"
"19","Amari Cooper",CLE,"vs. BAL","3 out of 5 stars","A-","11.7"
"20","Mike Evans",TB,"at NO","2 out of 5 stars","A-","11.6"
"21","Tyler Lockett",SEA,"at NYG","2 out of 5 stars","B+","11.5"
"22","George Pickens",PIT,"at HOU","3 out of 5 stars","B+","11.3"
"23","Tutu Atwell",LAR,"at IND","4 out of 5 stars","B+","11.3"
"24","Christian Kirk",JAC,"vs. ATL","4 out of 5 stars","B","11.2"
"25","Jakobi Meyers",LV,"at LAC","2 out of 5 stars","B","11.1"
"26","Brandon Aiyuk",SF,"vs. ARI","4 out of 5 stars","B","11.1"
"27","Garrett Wilson",NYJ,"vs. KC","3 out of 5 stars","B","11.0"
"28","Jerry Jeudy",DEN,"at CHI","4 out of 5 stars","B","10.9"
"29","Courtland Sutton",DEN,"at CHI","4 out of 5 stars","B","10.9"
"30","DeAndre Hopkins",TEN,"vs. CIN","3 out of 5 stars","B","10.9"
"31","Adam Thielen",CAR,"vs. MIN","3 out of 5 stars","B-","10.6"
"32","Tank Dell",HOU,"vs. PIT","3 out of 5 stars","B","10.6"
"33","Chris Godwin",TB,"at NO","2 out of 5 stars","B-","10.4"
"34","Zay Flowers",BAL,"at CLE","3 out of 5 stars","C+","10.0"
"35","Nico Collins",HOU,"vs. PIT","3 out of 5 stars","B-","10.1"
"36","Terry McLaurin",WAS,"at PHI","2 out of 5 stars","C+","10.0"
"37","Marquise Brown",ARI,"at SF","3 out of 5 stars","C+","10.0"
"38","DJ Moore",CHI,"vs. DEN","2 out of 5 stars","C+","9.9"
"39","Michael Thomas",NO,"vs. TB","3 out of 5 stars","C+","9.7"
"40","Christian Watson",GB,"vs. DET","3 out of 5 stars","C+","9.5"
"41","Gabe Davis",BUF,"vs. MIA","2 out of 5 stars","C+","9.4"
"42","Jordan Addison",MIN,"at CAR","4 out of 5 stars","C+","9.3"
"43","Joshua Palmer",LAC,"vs. LV","4 out of 5 stars","C+","8.8"
"44","Elijah Moore",CLE,"vs. BAL","3 out of 5 stars","C","8.6"
"45","Drake London",ATL,"at JAC","3 out of 5 stars","C","8.5"
"46","Romeo Doubs",GB,"vs. DET","3 out of 5 stars","C","8.0"
"47","Jahan Dotson",WAS,"at PHI","2 out of 5 stars","C","8.0"
"48","Robert Woods",HOU,"vs. PIT","3 out of 5 stars","C","7.9"
"49","Jayden Reed",GB,"vs. DET","3 out of 5 stars","C","7.9"
"50","Josh Downs",IND,"vs. LAR","3 out of 5 stars","C-","7.8"
"51","Brandin Cooks",DAL,"vs. NE","3 out of 5 stars","C-","7.7"
"52","Josh Reynolds",DET,"at GB","2 out of 5 stars","C-","7.7"
"53","Quentin Johnston",LAC,"vs. LV","4 out of 5 stars","C-","7.7"
"54","Kendrick Bourne",NE,"at DAL","4 out of 5 stars","C-","7.4"
"55","Rashid Shaheed",NO,"vs. TB","3 out of 5 stars","C-","7.4"
"56","DJ Chark Jr.",CAR,"vs. MIN","3 out of 5 stars","C-","7.4"
"57","Tyler Boyd",CIN,"at TEN","4 out of 5 stars","C-","7.1"
"58","DeVante Parker",NE,"at DAL","4 out of 5 stars","D+","7.1"
"59","Calvin Austin III",PIT,"at HOU","3 out of 5 stars","D+","6.8"
"60","Darius Slayton",NYG,"vs. SEA","3 out of 5 stars","D+","6.7"
"61","K.J. Osborn",MIN,"at CAR","4 out of 5 stars","D","6.7"
