"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. NYG","4 out of 5 stars","A+","23.1","","","",""
"2","Patrick Mahomes II",KC,"vs. DEN","5 out of 5 stars","A","22.7","","","",""
"3","Jalen Hurts",PHI,"at NYJ","2 out of 5 stars","A","21.8","","","",""
"4","Lamar Jackson",BAL,"at TEN","4 out of 5 stars","A","21.2","","","",""
"5","Justin Fields",CHI,"vs. MIN","4 out of 5 stars","A","20.5","","","",""
"6","Tua Tagovailoa",MIA,"vs. CAR","2 out of 5 stars","A-","19.8","","","",""
"7","Justin Herbert",LAC,"vs. DAL","2 out of 5 stars","B+","19.3","","","",""
"8","Trevor Lawrence",JAC,"vs. IND","3 out of 5 stars","B+","18.8","","","",""
"9","Joe Burrow",CIN,"vs. SEA","3 out of 5 stars","B","18.3","","","",""
"10","Matthew Stafford",LAR,"vs. ARI","4 out of 5 stars","B","17.9","","","",""
"11","Kirk Cousins",MIN,"at CHI","5 out of 5 stars","B-","17.5","","","",""
"12","Dak Prescott",DAL,"at LAC","5 out of 5 stars","B-","17.1","","","",""
"13","Geno Smith",SEA,"at CIN","3 out of 5 stars","C+","16.7","","","",""
"14","Russell Wilson",DEN,"at KC","3 out of 5 stars","C","16.5","","","",""
"15","Sam Howell",WAS,"at ATL","3 out of 5 stars","C","16.2","","","",""
"16","Jared Goff",DET,"at TB","2 out of 5 stars","C","16.0","","","",""
"17","C.J. Stroud",HOU,"vs. NO","2 out of 5 stars","C","15.8","","","",""
"18","Brock Purdy",SF,"at CLE","3 out of 5 stars","C-","15.5","","","",""
"19","Joshua Dobbs",ARI,"at LAR","3 out of 5 stars","D+","15.2","","","",""
"20","Baker Mayfield",TB,"vs. DET","3 out of 5 stars","D","15.0","","","",""
"21","Gardner Minshew II",IND,"at JAC","3 out of 5 stars","D","14.8","","","",""
"22","Jimmy Garoppolo",LV,"vs. NE","3 out of 5 stars","D-","14.5","","","",""
"23","Derek Carr",NO,"at HOU","3 out of 5 stars","F","14.3","","","",""
"24","Bryce Young",CAR,"at MIA","3 out of 5 stars","F","14.2","","","",""
"25","Desmond Ridder",ATL,"vs. WAS","4 out of 5 stars","F","13.9","","","",""
"26","Mac Jones",NE,"at LV","4 out of 5 stars","F","13.6","","","",""
"27","Ryan Tannehill",TEN,"vs. BAL","3 out of 5 stars","F","12.8","","","",""
"28","Zach Wilson",NYJ,"vs. PHI","4 out of 5 stars","F","12.0","","","",""
"29","Tyrod Taylor",NYG,"at BUF","2 out of 5 stars","F","10.9","","","",""
"30","PJ Walker",CLE,"vs. SF","2 out of 5 stars","F","9.4","","","",""
"31","Bailey Zappe",NE,"at LV","4 out of 5 stars","F","8.2","","","",""
"32","Jameis Winston",NO,"at HOU","3 out of 5 stars","F","0.0","","","",""
"33","Aidan O'Connell",LV,"vs. NE","3 out of 5 stars","F","0.0","","","",""
"34","Andy Dalton",CAR,"at MIA","3 out of 5 stars","F","0.0","","","",""
