"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"at CLE","2 out of 5 stars","A+","19.5","","","",""
"2","Tony Pollard",DAL,"at LAC","4 out of 5 stars","A+","16.2","","","",""
"3","Travis Etienne Jr.",JAC,"vs. IND","3 out of 5 stars","A","15.9","","","",""
"4","Austin Ekeler",LAC,"vs. DAL","3 out of 5 stars","A","15.9","","","",""
"5","Bijan Robinson",ATL,"vs. WAS","3 out of 5 stars","A","15.8","","","",""
"6","David Montgomery",DET,"at TB","3 out of 5 stars","A","15.8","","","",""
"7","Raheem Mostert",MIA,"vs. CAR","5 out of 5 stars","A","15.6","","","",""
"8","Josh Jacobs",LV,"vs. NE","3 out of 5 stars","A","15.5","","","",""
"9","Kyren Williams",LAR,"vs. ARI","4 out of 5 stars","A","15.5","","","",""
"10","Alvin Kamara",NO,"at HOU","5 out of 5 stars","A","15.4","","","",""
"11","Joe Mixon",CIN,"vs. SEA","2 out of 5 stars","A-","15.3","","","",""
"12","Isiah Pacheco",KC,"vs. DEN","4 out of 5 stars","A-","14.1","","","",""
"13","Kenneth Walker III",SEA,"at CIN","3 out of 5 stars","A-","13.7","","","",""
"14","D'Andre Swift",PHI,"at NYJ","2 out of 5 stars","B+","13.6","","","",""
"15","Derrick Henry",TEN,"vs. BAL","3 out of 5 stars","B+","13.4","","","",""
"16","James Cook",BUF,"vs. NYG","4 out of 5 stars","B+","12.9","","","",""
"17","Breece Hall",NYJ,"vs. PHI","2 out of 5 stars","B","12.8","","","",""
"18","Alexander Mattison",MIN,"at CHI","4 out of 5 stars","B","11.9","","","",""
"19","Rachaad White",TB,"vs. DET","1 out of 5 stars","B","11.7","","","",""
"20","Brian Robinson Jr.",WAS,"at ATL","4 out of 5 stars","B-","11.6","","","",""
"21","Rhamondre Stevenson",NE,"at LV","3 out of 5 stars","B","11.6","","","",""
"22","Dameon Pierce",HOU,"vs. NO","3 out of 5 stars","B","10.8","","","",""
"23","Jonathan Taylor",IND,"at JAC","3 out of 5 stars","B-","10.8","","","",""
"24","Zack Moss",IND,"at JAC","3 out of 5 stars","C+","10.0","","","",""
"25","Jerome Ford",CLE,"vs. SF","2 out of 5 stars","C+","9.8","","","",""
"26","Chuba Hubbard",CAR,"at MIA","5 out of 5 stars","C+","9.8","","","",""
"27","Emari Demercado",ARI,"at LAR","2 out of 5 stars","C","8.9","","","",""
"28","Tyler Allgeier",ATL,"vs. WAS","3 out of 5 stars","C","8.8","","","",""
"29","Gus Edwards",BAL,"at TEN","3 out of 5 stars","C","8.7","","","",""
"30","D'Onta Foreman",CHI,"vs. MIN","2 out of 5 stars","C","8.4","","","",""
