"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. DEN","4 out of 5 stars","A+","14.5","","","",""
"2","T.J. Hockenson",MIN,"at CHI","4 out of 5 stars","A","11.7","","","",""
"3","Mark Andrews",BAL,"at TEN","4 out of 5 stars","A-","11.1","","","",""
"4","Sam LaPorta",DET,"at TB","2 out of 5 stars","B+","9.0","","","",""
"5","Evan Engram",JAC,"vs. IND","3 out of 5 stars","B+","8.9","","","",""
"6","Dallas Goedert",PHI,"at NYJ","3 out of 5 stars","B","8.8","","","",""
"7","Darren Waller",NYG,"at BUF","3 out of 5 stars","B-","8.4","","","",""
"8","George Kittle",SF,"at CLE","3 out of 5 stars","B-","8.0","","","",""
"9","Cole Kmet",CHI,"vs. MIN","3 out of 5 stars","C+","7.7","","","",""
"10","Jake Ferguson",DAL,"at LAC","2 out of 5 stars","C+","7.5","","","",""
"11","Zach Ertz",ARI,"at LAR","5 out of 5 stars","C+","7.5","","","",""
"12","Logan Thomas",WAS,"at ATL","3 out of 5 stars","C","7.3","","","",""
"13","Kyle Pitts",ATL,"vs. WAS","2 out of 5 stars","C","7.3","","","",""
"14","Dalton Schultz",HOU,"vs. NO","3 out of 5 stars","C-","7.3","","","",""
"15","Hunter Henry",NE,"at LV","3 out of 5 stars","C-","6.7","","","",""
"16","Tyler Higbee",LAR,"vs. ARI","3 out of 5 stars","D+","6.6","","","",""
"17","Jonnu Smith",ATL,"vs. WAS","2 out of 5 stars","D+","6.5","","","",""
"18","David Njoku",CLE,"vs. SF","2 out of 5 stars","D","6.2","","","",""
"19","Gerald Everett",LAC,"vs. DAL","3 out of 5 stars","D","6.2","","","",""
"20","Chigoziem Okonkwo",TEN,"vs. BAL","2 out of 5 stars","D","6.0","","","",""
"21","Dawson Knox",BUF,"vs. NYG","3 out of 5 stars","D-","5.9","","","",""
"22","Tyler Conklin",NYJ,"vs. PHI","5 out of 5 stars","F","5.2","","","",""
"23","Cade Otton",TB,"vs. DET","3 out of 5 stars","F","5.2","","","",""
"24","Dalton Kincaid",BUF,"vs. NYG","3 out of 5 stars","F","4.9","","","",""
"25","Taysom Hill",NO,"at HOU","3 out of 5 stars","F","4.9","","","",""
"26","Hayden Hurst",CAR,"at MIA","3 out of 5 stars","F","4.8","","","",""
"27","Kylen Granson",IND,"at JAC","3 out of 5 stars","F","4.5","","","",""
"28","Durham Smythe",MIA,"vs. CAR","4 out of 5 stars","F","4.4","","","",""
"29","Noah Fant",SEA,"at CIN","5 out of 5 stars","F","3.5","","","",""
"30","Irv Smith Jr.",CIN,"vs. SEA","3 out of 5 stars","F","3.2","","","",""
"31","Mike Gesicki",NE,"at LV","3 out of 5 stars","F","3.1","","","",""
"32","Adam Trautman",DEN,"at KC","3 out of 5 stars","F","3.0","","","",""
"33","Donald Parham Jr.",LAC,"vs. DAL","3 out of 5 stars","F","2.9","","","",""
"34","Noah Gray",KC,"vs. DEN","4 out of 5 stars","F","2.8","","","",""
"35","Greg Dulcich",DEN,"at KC","3 out of 5 stars","F","2.8","","","",""
"36","Trey McBride",ARI,"at LAR","5 out of 5 stars","F","2.8","","","",""
"37","Foster Moreau",NO,"at HOU","3 out of 5 stars","F","2.7","","","",""
"38","Michael Mayer",LV,"vs. NE","3 out of 5 stars","F","2.7","","","",""
"39","Colby Parkinson",SEA,"at CIN","5 out of 5 stars","F","2.6","","","",""
"40","Andrew Ogletree",IND,"at JAC","3 out of 5 stars","F","2.6","","","",""
"41","Austin Hooper",LV,"vs. NE","3 out of 5 stars","F","2.5","","","",""
"42","Josh Oliver",MIN,"at CHI","4 out of 5 stars","F","2.4","","","",""
"43","Will Dissly",SEA,"at CIN","5 out of 5 stars","F","2.3","","","",""
"44","Robert Tonyan",CHI,"vs. MIN","3 out of 5 stars","F","2.3","","","",""
"45","C.J. Uzomah",NYJ,"vs. PHI","5 out of 5 stars","F","1.9","","","",""
"46","Luke Schoonmaker",DAL,"at LAC","2 out of 5 stars","F","1.7","","","",""
"47","Brock Wright",DET,"at TB","2 out of 5 stars","F","1.7","","","",""
"48","John Bates",WAS,"at ATL","3 out of 5 stars","F","1.6","","","",""
"49","Harrison Bryant",CLE,"vs. SF","2 out of 5 stars","F","1.6","","","",""
"50","Jordan Akins",CLE,"vs. SF","2 out of 5 stars","F","1.4","","","",""
"51","Cole Turner",WAS,"at ATL","3 out of 5 stars","F","1.4","","","",""
"52","Mo Alie-Cox",IND,"at JAC","3 out of 5 stars","F","1.4","","","",""
