"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"vs. CAR","3 out of 5 stars","A+","18.3","","","",""
"2","Ja'Marr Chase",CIN,"vs. SEA","3 out of 5 stars","A+","16.7","","","",""
"3","Stefon Diggs",BUF,"vs. NYG","3 out of 5 stars","A+","16.0","","","",""
"4","Cooper Kupp",LAR,"vs. ARI","4 out of 5 stars","A+","15.5","","","",""
"5","Davante Adams",LV,"vs. NE","3 out of 5 stars","A+","14.9","","","",""
"6","Keenan Allen",LAC,"vs. DAL","2 out of 5 stars","A+","14.5","","","",""
"7","CeeDee Lamb",DAL,"at LAC","4 out of 5 stars","A","13.7","","","",""
"8","A.J. Brown",PHI,"at NYJ","2 out of 5 stars","A","13.2","","","",""
"9","Puka Nacua",LAR,"vs. ARI","4 out of 5 stars","A","13.0","","","",""
"10","Jaylen Waddle",MIA,"vs. CAR","3 out of 5 stars","A","12.9","","","",""
"11","DJ Moore",CHI,"vs. MIN","3 out of 5 stars","A","12.7","","","",""
"12","Calvin Ridley",JAC,"vs. IND","4 out of 5 stars","A","12.6","","","",""
"13","Amon-Ra St. Brown",DET,"at TB","3 out of 5 stars","A","12.2","","","",""
"14","Chris Olave",NO,"at HOU","4 out of 5 stars","A","12.0","","","",""
"15","Brandon Aiyuk",SF,"at CLE","2 out of 5 stars","A-","12.0","","","",""
"16","Michael Pittman Jr.",IND,"at JAC","3 out of 5 stars","A-","11.9","","","",""
"17","Adam Thielen",CAR,"at MIA","4 out of 5 stars","A-","11.7","","","",""
"18","Mike Evans",TB,"vs. DET","3 out of 5 stars","A-","11.7","","","",""
"19","DK Metcalf",SEA,"at CIN","2 out of 5 stars","A-","11.6","","","",""
"20","Christian Kirk",JAC,"vs. IND","4 out of 5 stars","A-","11.6","","","",""
"21","Jordan Addison",MIN,"at CHI","4 out of 5 stars","B+","11.6","","","",""
"22","Marquise Brown",ARI,"at LAR","2 out of 5 stars","B+","11.5","","","",""
"23","DeVonta Smith",PHI,"at NYJ","2 out of 5 stars","B+","11.5","","","",""
"24","DeAndre Hopkins",TEN,"vs. BAL","3 out of 5 stars","B+","11.4","","","",""
"25","Deebo Samuel",SF,"at CLE","2 out of 5 stars","B","11.3","","","",""
"26","Chris Godwin",TB,"vs. DET","3 out of 5 stars","B","11.3","","","",""
"27","Zay Flowers",BAL,"at TEN","4 out of 5 stars","B-","11.3","","","",""
"28","Jakobi Meyers",LV,"vs. NE","3 out of 5 stars","B","11.2","","","",""
"29","Nico Collins",HOU,"vs. NO","3 out of 5 stars","B","11.2","","","",""
"30","Garrett Wilson",NYJ,"vs. PHI","3 out of 5 stars","B","11.1","","","",""
"31","Tyler Lockett",SEA,"at CIN","2 out of 5 stars","B-","10.7","","","",""
"32","Terry McLaurin",WAS,"at ATL","2 out of 5 stars","B-","10.6","","","",""
"33","Gabe Davis",BUF,"vs. NYG","3 out of 5 stars","C+","10.6","","","",""
"34","Amari Cooper",CLE,"vs. SF","3 out of 5 stars","C+","10.2","","","",""
"35","Michael Thomas",NO,"at HOU","4 out of 5 stars","C+","9.9","","","",""
"36","Jerry Jeudy",DEN,"at KC","3 out of 5 stars","C+","9.4","","","",""
"37","Drake London",ATL,"vs. WAS","3 out of 5 stars","C+","9.3","","","",""
"38","K.J. Osborn",MIN,"at CHI","4 out of 5 stars","C+","9.1","","","",""
"39","Joshua Palmer",LAC,"vs. DAL","2 out of 5 stars","C","8.7","","","",""
"40","Josh Downs",IND,"at JAC","3 out of 5 stars","C","8.6","","","",""
"41","Tutu Atwell",LAR,"vs. ARI","4 out of 5 stars","C","8.4","","","",""
"42","Courtland Sutton",DEN,"at KC","3 out of 5 stars","C","8.3","","","",""
"43","Tee Higgins",CIN,"vs. SEA","3 out of 5 stars","C","8.3","","","",""
"44","Jahan Dotson",WAS,"at ATL","2 out of 5 stars","C","8.2","","","",""
"45","Tyler Boyd",CIN,"vs. SEA","3 out of 5 stars","C","8.0","","","",""
"46","Robert Woods",HOU,"vs. NO","3 out of 5 stars","C","7.8","","","",""
"47","Rashee Rice",KC,"vs. DEN","3 out of 5 stars","C","7.6","","","",""
"48","Curtis Samuel",WAS,"at ATL","2 out of 5 stars","C","7.5","","","",""
"49","Elijah Moore",CLE,"vs. SF","3 out of 5 stars","C-","7.5","","","",""
"50","Brandin Cooks",DAL,"at LAC","4 out of 5 stars","C-","7.4","","","",""
"51","Kendrick Bourne",NE,"at LV","4 out of 5 stars","C-","7.3","","","",""
"52","DJ Chark Jr.",CAR,"at MIA","4 out of 5 stars","C-","7.3","","","",""
"53","Josh Reynolds",DET,"at TB","3 out of 5 stars","C-","7.2","","","",""
"54","Michael Wilson",ARI,"at LAR","2 out of 5 stars","C-","7.2","","","",""
"55","Michael Gallup",DAL,"at LAC","4 out of 5 stars","C-","6.8","","","",""
"56","Jaxon Smith-Njigba",SEA,"at CIN","2 out of 5 stars","D+","6.8","","","",""
"57","Wan'Dale Robinson",NYG,"at BUF","4 out of 5 stars","D+","6.6","","","",""
"58","Rashid Shaheed",NO,"at HOU","4 out of 5 stars","D","6.6","","","",""
"59","DeVante Parker",NE,"at LV","4 out of 5 stars","D+","6.4","","","",""
"60","Quentin Johnston",LAC,"vs. DAL","2 out of 5 stars","D","6.2","","","",""
"61","Jonathan Mingo",CAR,"at MIA","4 out of 5 stars","D","6.2","","","",""
"62","Darnell Mooney",CHI,"vs. MIN","3 out of 5 stars","D","6.0","","","",""
"63","Rondale Moore",ARI,"at LAR","2 out of 5 stars","D","5.9","","","",""
"64","Kadarius Toney",KC,"vs. DEN","3 out of 5 stars","D-","5.8","","","",""
"65","Allen Lazard",NYJ,"vs. PHI","3 out of 5 stars","D","5.7","","","",""
"66","Darius Slayton",NYG,"at BUF","4 out of 5 stars","D","5.5","","","",""
