"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Buffalo Bills",BUF,"at NE","5 out of 5 stars","A+","8.5","",""
"2","San Francisco 49ers",SF,"at MIN","4 out of 5 stars","A","7.9","",""
"3","Cleveland Browns",CLE,"at IND","2 out of 5 stars","A","7.3","",""
"4","Washington Commanders",WAS,"at NYG","5 out of 5 stars","A","7.3","",""
"5","Seattle Seahawks",SEA,"vs. ARI","3 out of 5 stars","A","7.2","",""
"6","Las Vegas Raiders",LV,"at CHI","5 out of 5 stars","B+","7.2","",""
"7","Tampa Bay Buccaneers",TB,"vs. ATL","5 out of 5 stars","B+","7.2","",""
"8","New Orleans Saints",NO,"vs. JAC","3 out of 5 stars","B","7.1","",""
"9","New York Giants",NYG,"vs. WAS","5 out of 5 stars","B-","6.9","",""
"10","Green Bay Packers",GB,"at DEN","5 out of 5 stars","B-","6.8","",""
"11","Pittsburgh Steelers",PIT,"at LAR","1 out of 5 stars","C+","6.8","",""
"12","Baltimore Ravens",BAL,"vs. DET","1 out of 5 stars","C+","6.7","",""
"13","Jacksonville Jaguars",JAC,"at NO","4 out of 5 stars","C+","6.6","",""
"14","Los Angeles Rams",LAR,"vs. PIT","3 out of 5 stars","C","6.3","",""
"15","Indianapolis Colts",IND,"vs. CLE","5 out of 5 stars","C","6.3","",""
"16","Kansas City Chiefs",KC,"vs. LAC","1 out of 5 stars","C","6.1","",""
"17","Philadelphia Eagles",PHI,"vs. MIA","1 out of 5 stars","C-","6.0","",""
"18","Chicago Bears",CHI,"vs. LV","4 out of 5 stars","C-","5.9","",""
"19","Detroit Lions",DET,"at BAL","3 out of 5 stars","C-","5.8","",""
"20","Atlanta Falcons",ATL,"at TB","3 out of 5 stars","D+","5.6","",""
"21","Denver Broncos",DEN,"vs. GB","3 out of 5 stars","D","5.6","",""
"22","Miami Dolphins",MIA,"at PHI","2 out of 5 stars","D","5.6","",""
"23","New England Patriots",NE,"vs. BUF","1 out of 5 stars","D-","5.5","",""
"24","Arizona Cardinals",ARI,"at SEA","1 out of 5 stars","F","5.3","",""
"25","Los Angeles Chargers",LAC,"at KC","2 out of 5 stars","F","5.2","",""
"26","Minnesota Vikings",MIN,"vs. SF","1 out of 5 stars","F","5.1","",""
