"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. LAC","2 out of 5 stars","A+","15.0","","","",""
"2","Mark Andrews",BAL,"vs. DET","2 out of 5 stars","A","11.1","","","",""
"3","T.J. Hockenson",MIN,"vs. SF","3 out of 5 stars","A","10.7","","","",""
"4","Sam LaPorta",DET,"at BAL","3 out of 5 stars","A-","9.0","","","",""
"5","George Kittle",SF,"at MIN","3 out of 5 stars","B+","9.0","","","",""
"6","Dallas Goedert",PHI,"vs. MIA","4 out of 5 stars","B","8.6","","","",""
"7","Darren Waller",NYG,"vs. WAS","4 out of 5 stars","B","8.5","","","",""
"8","Evan Engram",JAC,"at NO","3 out of 5 stars","B","8.2","","","",""
"9","Kyle Pitts",ATL,"at TB","2 out of 5 stars","B-","7.6","","","",""
"10","Logan Thomas",WAS,"at NYG","3 out of 5 stars","C+","7.4","","","",""
"11","Luke Musgrave",GB,"at DEN","4 out of 5 stars","C","7.0","","","",""
"12","Cole Kmet",CHI,"vs. LV","3 out of 5 stars","C","6.4","","","",""
"13","Jonnu Smith",ATL,"at TB","2 out of 5 stars","C-","6.1","","","",""
"14","David Njoku",CLE,"at IND","2 out of 5 stars","D+","5.9","","","",""
"15","Gerald Everett",LAC,"at KC","3 out of 5 stars","D+","5.9","","","",""
"16","Taysom Hill",NO,"vs. JAC","3 out of 5 stars","D","5.6","","","",""
"17","Tyler Higbee",LAR,"vs. PIT","3 out of 5 stars","D","5.5","","","",""
"18","Michael Mayer",LV,"at CHI","4 out of 5 stars","D","5.4","","","",""
"19","Zach Ertz",ARI,"at SEA","3 out of 5 stars","D-","5.4","","","",""
"20","Dalton Kincaid",BUF,"at NE","3 out of 5 stars","D-","5.3","","","",""
"21","Hunter Henry",NE,"vs. BUF","3 out of 5 stars","D-","5.1","","","",""
"22","Cade Otton",TB,"vs. ATL","3 out of 5 stars","F","4.9","","","",""
"23","Dawson Knox",BUF,"at NE","3 out of 5 stars","F","4.6","","","",""
"24","Trey McBride",ARI,"at SEA","3 out of 5 stars","F","4.4","","","",""
"25","Noah Fant",SEA,"vs. ARI","3 out of 5 stars","F","4.3","","","",""
"26","Mike Gesicki",NE,"vs. BUF","3 out of 5 stars","F","4.1","","","",""
"27","Durham Smythe",MIA,"at PHI","5 out of 5 stars","F","4.0","","","",""
"28","Donald Parham Jr.",LAC,"at KC","3 out of 5 stars","F","3.9","","","",""
"29","Adam Trautman",DEN,"vs. GB","3 out of 5 stars","F","3.9","","","",""
"30","Noah Gray",KC,"vs. LAC","2 out of 5 stars","F","3.5","","","",""
"31","Colby Parkinson",SEA,"vs. ARI","3 out of 5 stars","F","3.5","","","",""
"32","Foster Moreau",NO,"vs. JAC","3 out of 5 stars","F","3.4","","","",""
"33","Will Dissly",SEA,"vs. ARI","3 out of 5 stars","F","3.4","","","",""
"34","Kylen Granson",IND,"vs. CLE","3 out of 5 stars","F","3.1","","","",""
"35","Andrew Ogletree",IND,"vs. CLE","3 out of 5 stars","F","2.9","","","",""
"36","Austin Hooper",LV,"at CHI","4 out of 5 stars","F","2.7","","","",""
"37","Brenton Strange",JAC,"at NO","3 out of 5 stars","F","2.2","","","",""
"38","Josh Oliver",MIN,"vs. SF","3 out of 5 stars","F","2.1","","","",""
"39","Brock Wright",DET,"at BAL","3 out of 5 stars","F","1.9","","","",""
"40","Robert Tonyan",CHI,"vs. LV","3 out of 5 stars","F","1.9","","","",""
"41","Connor Heyward",PIT,"at LAR","5 out of 5 stars","F","1.9","","","",""
"42","Harrison Bryant",CLE,"at IND","2 out of 5 stars","F","1.9","","","",""
"43","Mo Alie-Cox",IND,"vs. CLE","3 out of 5 stars","F","1.8","","","",""
"44","Josiah Deguara",GB,"at DEN","4 out of 5 stars","F","1.8","","","",""
"45","John Bates",WAS,"at NYG","3 out of 5 stars","F","1.5","","","",""
"46","Isaiah Likely",BAL,"vs. DET","2 out of 5 stars","F","1.5","","","",""
"47","Cole Turner",WAS,"at NYG","3 out of 5 stars","F","1.5","","","",""
"48","Daniel Bellinger",NYG,"vs. WAS","4 out of 5 stars","F","1.4","","","",""
"49","Darnell Washington",PIT,"at LAR","5 out of 5 stars","F","1.3","","","",""
"50","Jordan Akins",CLE,"at IND","2 out of 5 stars","F","1.1","","","",""
"51","MyCole Pruitt",ATL,"at TB","2 out of 5 stars","F","1.1","","","",""
"52","Pharaoh Brown",NE,"vs. BUF","3 out of 5 stars","F","1.0","","","",""
"53","Julian Hill",MIA,"at PHI","5 out of 5 stars","F","1.0","","","",""
"54","Will Mallory",IND,"vs. CLE","3 out of 5 stars","F","1.0","","","",""
"55","Tucker Kraft",GB,"at DEN","4 out of 5 stars","F","0.8","","","",""
"56","Luke Farrell",JAC,"at NO","3 out of 5 stars","F","0.8","","","",""
"57","Jimmy Graham",NO,"vs. JAC","3 out of 5 stars","F","0.8","","","",""
"58","Ko Kieft",TB,"vs. ATL","3 out of 5 stars","F","0.8","","","",""
"59","Blake Bell",KC,"vs. LAC","2 out of 5 stars","F","0.7","","","",""
"60","Geoff Swaim",ARI,"at SEA","3 out of 5 stars","F","0.7","","","",""
"61","Jack Stoll",PHI,"vs. MIA","4 out of 5 stars","F","0.7","","","",""
