"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","George Kittle",SF,"at TB","3 out of 5 stars","A+","11.9"
"2","Travis Kelce",KC,"vs. DEN","2 out of 5 stars","A","11.4"
"3","Cade Otton",TB,"vs. SF","3 out of 5 stars","A","10.7"
"4","Trey McBride",ARI,"vs. NYJ","3 out of 5 stars","A-","9.8"
"5","Evan Engram",JAC,"vs. MIN","3 out of 5 stars","B+","9.5"
"6","Mike Gesicki",CIN,"at BAL","3 out of 5 stars","B","9.3"
"7","Dalton Kincaid",BUF,"at IND","5 out of 5 stars","B","8.7"
"8","Taysom Hill",NO,"vs. ATL","4 out of 5 stars","B-","8.7"
"9","Mark Andrews",BAL,"vs. CIN","3 out of 5 stars","B-","8.4"
"10","Kyle Pitts",ATL,"at NO","4 out of 5 stars","C+","8.2"
"11","T.J. Hockenson",MIN,"at JAC","4 out of 5 stars","C","8.0"
"12","Jake Ferguson",DAL,"vs. PHI","2 out of 5 stars","C","7.5"
"13","Sam LaPorta",DET,"at HOU","2 out of 5 stars","C","7.5"
"14","Hunter Henry",NE,"at CHI","3 out of 5 stars","C-","7.2"
"15","Jonnu Smith",MIA,"at LAR","3 out of 5 stars","C-","7.1"
"16","Zach Ertz",WAS,"vs. PIT","4 out of 5 stars","D+","6.8"
"17","Cole Kmet",CHI,"vs. NE","3 out of 5 stars","D+","6.8"
"18","Dalton Schultz",HOU,"vs. DET","3 out of 5 stars","D","6.7"
"19","Dallas Goedert",PHI,"at DAL","4 out of 5 stars","D","6.3"
"20","Pat Freiermuth",PIT,"at WAS","2 out of 5 stars","D-","6.2"
"21","Ja'Tavion Sanders",CAR,"vs. NYG","3 out of 5 stars","D-","5.8"
"22","Will Dissly",LAC,"vs. TEN","3 out of 5 stars","F","5.7"
"23","Juwan Johnson",NO,"vs. ATL","4 out of 5 stars","F","5.6"
"24","Theo Johnson",NYG,"at CAR","4 out of 5 stars","F","5.4"
"25","Tyler Conklin",NYJ,"at ARI","2 out of 5 stars","F","4.7"
"26","Chig Okonkwo",TEN,"at LAC","2 out of 5 stars","F","4.3"
"27","Foster Moreau",NO,"vs. ATL","4 out of 5 stars","F","4.2"
"28","Colby Parkinson",LAR,"vs. MIA","2 out of 5 stars","F","3.6"
"29","Noah Gray",KC,"vs. DEN","2 out of 5 stars","F","3.2"
"30","Dawson Knox",BUF,"at IND","5 out of 5 stars","F","3.1"
"31","Lucas Krull",DEN,"at KC","3 out of 5 stars","F","3.0"
"32","Adam Trautman",DEN,"at KC","3 out of 5 stars","F","2.8"
"33","Grant Calcaterra",PHI,"at DAL","4 out of 5 stars","F","2.8"
"34","Josh Oliver",MIN,"at JAC","4 out of 5 stars","F","2.8"
"35","Charlie Kolar",BAL,"vs. CIN","3 out of 5 stars","F","2.7"
"36","Drew Sample",CIN,"at BAL","3 out of 5 stars","F","2.6"
"37","Austin Hooper",NE,"at CHI","3 out of 5 stars","F","2.5"
"38","Tanner Hudson",CIN,"at BAL","3 out of 5 stars","F","2.5"
"39","Brenton Strange",JAC,"vs. MIN","3 out of 5 stars","F","2.4"
"40","Hayden Hurst",LAC,"vs. TEN","3 out of 5 stars","F","2.4"
"41","Nick Vannett",TEN,"at LAC","2 out of 5 stars","F","2.3"
"42","Darnell Washington",PIT,"at WAS","2 out of 5 stars","F","2.3"
"43","Josh Whyle",TEN,"at LAC","2 out of 5 stars","F","2.2"
"44","Davis Allen",LAR,"vs. MIA","2 out of 5 stars","F","2.1"
"45","Cade Stover",HOU,"vs. DET","3 out of 5 stars","F","2.1"
"46","Mo Alie-Cox",IND,"vs. BUF","3 out of 5 stars","F","2.1"
"47","Kylen Granson",IND,"vs. BUF","3 out of 5 stars","F","2.1"
"48","Jeremy Ruckert",NYJ,"at ARI","2 out of 5 stars","F","1.9"
"49","Brock Wright",DET,"at HOU","2 out of 5 stars","F","1.9"
"50","Johnny Mundt",MIN,"at JAC","4 out of 5 stars","F","1.8"
"51","Elijah Higgins",ARI,"vs. NYJ","3 out of 5 stars","F","1.4"
"52","Tommy Tremble",CAR,"vs. NYG","3 out of 5 stars","F","1.3"
"53","Drew Ogletree",IND,"vs. BUF","3 out of 5 stars","F","1.3"
"54","Gerald Everett",CHI,"vs. NE","3 out of 5 stars","F","1.1"
"55","John Bates",WAS,"vs. PIT","4 out of 5 stars","F","1.1"
"56","Nate Adkins",DEN,"at KC","3 out of 5 stars","F","1.0"
"57","Ben Sinnott",WAS,"vs. PIT","4 out of 5 stars","F","0.9"
"58","Hunter Long",LAR,"vs. MIA","2 out of 5 stars","F","0.9"
"59","Durham Smythe",MIA,"at LAR","3 out of 5 stars","F","0.9"
"60","Luke Farrell",JAC,"vs. MIN","3 out of 5 stars","F","0.8"
"61","Will Mallory",IND,"vs. BUF","3 out of 5 stars","F","0.8"
"62","Brevyn Spann-Ford",DAL,"vs. PHI","2 out of 5 stars","F","0.8"
"63","Charlie Woerner",ATL,"at NO","4 out of 5 stars","F","0.8"
"64","Ian Thomas",CAR,"vs. NYG","3 out of 5 stars","F","0.6"
"65","MyCole Pruitt",PIT,"at WAS","2 out of 5 stars","F","0.5"
"66","Eric Saubert",SF,"at TB","3 out of 5 stars","F","0.5"
"67","Payne Durham",TB,"vs. SF","3 out of 5 stars","F","0.5"
"68","Chris Manhertz",NYG,"at CAR","4 out of 5 stars","F","0.4"
"69","Tip Reiman",ARI,"vs. NYJ","3 out of 5 stars","F","0.4"
"70","Eric Tomlinson",LAC,"vs. TEN","3 out of 5 stars","F","0.4"
"71","Peyton Hendershot",KC,"vs. DEN","2 out of 5 stars","F","0.3"
"72","Connor Heyward",PIT,"at WAS","2 out of 5 stars","F","0.3"
"73","Daniel Bellinger",NYG,"at CAR","4 out of 5 stars","F","0.3"
"74","Kenny Yeboah",NYJ,"at ARI","2 out of 5 stars","F","0.3"
"75","Jack Stoll",PHI,"at DAL","4 out of 5 stars","F","0.2"
"76","Teagan Quitoriano",HOU,"vs. DET","3 out of 5 stars","F","0.2"
"77","Tanner Conner",MIA,"at LAR","3 out of 5 stars","F","0.1"
"78","Julian Hill",MIA,"at LAR","3 out of 5 stars","F","0.1"
"79","Jake Tonges",SF,"at TB","3 out of 5 stars","F","0.0"
"80","Marcedes Lewis",CHI,"vs. NE","3 out of 5 stars","F","0.0"
"81","Cam Grandy",CIN,"at BAL","3 out of 5 stars","F","0.0"
"82","Ko Kieft",TB,"vs. SF","3 out of 5 stars","F","0.0"
"83","Ross Dwelley",ATL,"at NO","4 out of 5 stars","F","0.0"
"84","Luke Schoonmaker",DAL,"vs. PHI","2 out of 5 stars","F","0.0"
"85","Quintin Morris",BUF,"at IND","5 out of 5 stars","F","0.0"
"86","Dallin Holker",NO,"vs. ATL","4 out of 5 stars","F","0.0"
"87","Jaheim Bell",NE,"at CHI","3 out of 5 stars","F","0.0"
"88","Zaire Mitchell-Paden",BAL,"vs. CIN","3 out of 5 stars","F","0.0"
"89","Shane Zylstra",DET,"at HOU","2 out of 5 stars","F","0.0"
"90","Stone Smartt",LAC,"vs. TEN","3 out of 5 stars","F","0.0"
"91","Mitchell Wilcox",NE,"at CHI","3 out of 5 stars","F","0.0"
