"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Sam LaPorta",DET,"vs. TB","3 out of 5 stars","A+","11.9"
"2","Trey McBride",ARI,"vs. LAR","4 out of 5 stars","A","11.3"
"3","Travis Kelce",KC,"vs. CIN","3 out of 5 stars","A","11.1"
"4","George Kittle",SF,"at MIN","4 out of 5 stars","A-","10.5"
"5","Kyle Pitts",ATL,"at PHI","3 out of 5 stars","B","10.1"
"6","Dalton Kincaid",BUF,"at MIA","4 out of 5 stars","B+","9.5"
"7","Mark Andrews",BAL,"vs. LV","3 out of 5 stars","B","9.5"
"8","Evan Engram",JAC,"vs. CLE","4 out of 5 stars","B-","9.2"
"9","Brock Bowers",LV,"at BAL","2 out of 5 stars","B-","8.8"
"10","Isaiah Likely",BAL,"vs. LV","3 out of 5 stars","C+","8.1"
"11","Dallas Goedert",PHI,"vs. ATL","4 out of 5 stars","C+","7.8"
"12","Colby Parkinson",LAR,"at ARI","3 out of 5 stars","C","6.9"
"13","Dalton Schultz",HOU,"vs. CHI","4 out of 5 stars","C","6.8"
"14","Taysom Hill",NO,"at DAL","3 out of 5 stars","C-","6.5"
"15","Pat Freiermuth",PIT,"at DEN","4 out of 5 stars","D+","6.3"
"16","Hunter Henry",NE,"vs. SEA","3 out of 5 stars","D+","5.9"
"17","Zach Ertz",WAS,"vs. NYG","2 out of 5 stars","D","5.9"
"18","Tyler Conklin",NYJ,"at TEN","3 out of 5 stars","D","5.8"
"19","Cade Otton",TB,"at DET","3 out of 5 stars","D","5.7"
"20","Noah Fant",SEA,"at NE","3 out of 5 stars","D","5.6"
"21","Juwan Johnson",NO,"at DAL","3 out of 5 stars","D-","5.5"
"22","Mike Gesicki",CIN,"at KC","2 out of 5 stars","D-","5.3"
"23","Chig Okonkwo",TEN,"vs. NYJ","3 out of 5 stars","F","5.2"
"24","Tucker Kraft",GB,"vs. IND","2 out of 5 stars","F","5.2"
"25","Cole Kmet",CHI,"at HOU","3 out of 5 stars","F","5.1"
"26","Greg Dulcich",DEN,"vs. PIT","3 out of 5 stars","F","5.0"
"27","Jonnu Smith",MIA,"vs. BUF","3 out of 5 stars","F","4.8"
"28","Dawson Knox",BUF,"at MIA","4 out of 5 stars","F","4.7"
"29","Gerald Everett",CHI,"at HOU","3 out of 5 stars","F","4.5"
"30","Luke Musgrave",GB,"vs. IND","2 out of 5 stars","F","4.4"
