"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Denver Broncos",DEN,"vs. LV","5 out of 5 stars","A+","8.3"
"2","Seattle Seahawks",SEA,"vs. NYG","4 out of 5 stars","A","7.8"
"3","Chicago Bears",CHI,"vs. CAR","3 out of 5 stars","A-","7.3"
"4","New England Patriots",NE,"vs. MIA","5 out of 5 stars","B+","6.9"
"5","New York Jets",NYJ,"at MIN","1 out of 5 stars","B+","6.9"
"6","Miami Dolphins",MIA,"at NE","5 out of 5 stars","B","6.7"
"7","San Francisco 49ers",SF,"vs. ARI","2 out of 5 stars","B","6.6"
"8","Minnesota Vikings",MIN,"vs. NYJ","2 out of 5 stars","B","6.4"
"9","Kansas City Chiefs",KC,"vs. NO","3 out of 5 stars","B-","6.3"
"10","Green Bay Packers",GB,"at LAR","4 out of 5 stars","B-","6.2"
"11","Pittsburgh Steelers",PIT,"vs. DAL","1 out of 5 stars","B-","6.2"
"12","Washington Commanders",WAS,"vs. CLE","4 out of 5 stars","B-","6.1"
"13","Las Vegas Raiders",LV,"at DEN","3 out of 5 stars","C+","6.1"
"14","Dallas Cowboys",DAL,"at PIT","2 out of 5 stars","C","5.8"
"15","Baltimore Ravens",BAL,"at CIN","5 out of 5 stars","C","5.8"
"16","Indianapolis Colts",IND,"at JAC","3 out of 5 stars","C-","5.7"
"17","Tampa Bay Buccaneers",TB,"at ATL","2 out of 5 stars","C","5.7"
"18","Atlanta Falcons",ATL,"vs. TB","3 out of 5 stars","C","5.7"
"19","Carolina Panthers",CAR,"at CHI","5 out of 5 stars","D","5.6"
"20","Cleveland Browns",CLE,"at WAS","1 out of 5 stars","D+","5.6"
"21","Buffalo Bills",BUF,"at HOU","2 out of 5 stars","D","5.5"
"22","Jacksonville Jaguars",JAC,"vs. IND","2 out of 5 stars","D","5.5"
"23","New Orleans Saints",NO,"at KC","2 out of 5 stars","D-","5.4"
"24","Houston Texans",HOU,"vs. BUF","1 out of 5 stars","F","5.4"
"25","New York Giants",NYG,"at SEA","2 out of 5 stars","F","5.3"
"26","Los Angeles Rams",LAR,"vs. GB","1 out of 5 stars","F","5.3"
"27","Cincinnati Bengals",CIN,"vs. BAL","1 out of 5 stars","F","5.2"
"28","Arizona Cardinals",ARI,"at SF","1 out of 5 stars","F","5.1"
