PLAYER NAME,TEAM,SOS SEASON,SOS PLAYOFFS,PROJ. FPTS,ECR VS. ADP
Jalen Hurts,PHI,2 out of 5 stars,5 out of 5 stars,225.0,+1
Josh Allen,BUF,3 out of 5 stars,4 out of 5 stars,223.0,+1
Justin Herbert,LAC,4 out of 5 stars,3 out of 5 stars,222.2,+1
Patrick Mahomes II,KC,4 out of 5 stars,3 out of 5 stars,221.0,-2
Lamar Jackson,BAL,4 out of 5 stars,3 out of 5 stars,205.0,0
Joe Burrow,CIN,1 out of 5 stars,2 out of 5 stars,204.6,-2
Tua Tagovailoa,MIA,2 out of 5 stars,0 out of 5 stars,194.0,+5
C.J. Stroud,HOU,4 out of 5 stars,4 out of 5 stars,188.1,+11
Geno Smith,SEA,1 out of 5 stars,4 out of 5 stars,184.8,+1
Trevor Lawrence,JAC,1 out of 5 stars,1 out of 5 stars,181.0,0
Dak Prescott,DAL,4 out of 5 stars,3 out of 5 stars,180.4,-7
Jordan Love,GB,3 out of 5 stars,2 out of 5 stars,178.2,+8
Justin Fields,CHI,4 out of 5 stars,4 out of 5 stars,175.0,-2
Jared Goff,DET,5 out of 5 stars,3 out of 5 stars,174.0,+7
Brock Purdy,SF,4 out of 5 stars,4 out of 5 stars,174.0,+8
Kirk Cousins,MIN,4 out of 5 stars,4 out of 5 stars,173.0,+2
Matthew Stafford,LAR,3 out of 5 stars,3 out of 5 stars,165.0,+8
Sam Howell,WAS,3 out of 5 stars,1 out of 5 stars,165.0,+9
Russell Wilson,DEN,4 out of 5 stars,5 out of 5 stars,164.0,+2
Deshaun Watson,CLE,4 out of 5 stars,3 out of 5 stars,160.6,-11
Baker Mayfield,TB,2 out of 5 stars,2 out of 5 stars,155.1,+8
Bryce Young,CAR,3 out of 5 stars,3 out of 5 stars,149.6,-4
Kenny Pickett,PIT,4 out of 5 stars,3 out of 5 stars,144.1,-8
Daniel Jones,NYG,2 out of 5 stars,2 out of 5 stars,144.0,-8
Kyler Murray,ARI,2 out of 5 stars,4 out of 5 stars,141.0,+3
Derek Carr,NO,3 out of 5 stars,3 out of 5 stars,139.0,-3
Gardner Minshew II,IND,2 out of 5 stars,2 out of 5 stars,136.0,-
Desmond Ridder,ATL,3 out of 5 stars,3 out of 5 stars,134.0,+5
Jimmy Garoppolo,LV,4 out of 5 stars,3 out of 5 stars,129.0,-2
Zach Wilson,NYJ,4 out of 5 stars,4 out of 5 stars,123.2,+11
Mac Jones,NE,4 out of 5 stars,3 out of 5 stars,120.0,-1
Joshua Dobbs,ARI,2 out of 5 stars,4 out of 5 stars,117.0,+8
Ryan Tannehill,TEN,3 out of 5 stars,3 out of 5 stars,40.7,-3
Malik Willis,TEN,3 out of 5 stars,3 out of 5 stars,39.6,-
Will Levis,TEN,3 out of 5 stars,3 out of 5 stars,27.5,-
Tyson Bagent,CHI,4 out of 5 stars,4 out of 5 stars,26.4,-
Aidan O'Connell,LV,4 out of 5 stars,3 out of 5 stars,25.3,0
Tyrod Taylor,NYG,2 out of 5 stars,2 out of 5 stars,25.0,-
Taylor Heinicke,ATL,3 out of 5 stars,3 out of 5 stars,23.0,-
P.J. Walker,CLE,4 out of 5 stars,3 out of 5 stars,19.8,-
Jameis Winston,NO,3 out of 5 stars,3 out of 5 stars,17.0,-
Jacoby Brissett,WAS,3 out of 5 stars,1 out of 5 stars,17.0,-
Andy Dalton,CAR,3 out of 5 stars,3 out of 5 stars,16.5,-
Bailey Zappe,NE,4 out of 5 stars,3 out of 5 stars,15.4,-
Kyle Trask,TB,2 out of 5 stars,2 out of 5 stars,14.3,-4
Sam Darnold,SF,4 out of 5 stars,4 out of 5 stars,14.0,+3
Mitch Trubisky,PIT,4 out of 5 stars,3 out of 5 stars,13.2,+8
Dorian Thompson-Robinson,CLE,4 out of 5 stars,3 out of 5 stars,13.2,-
Trey Lance,DAL,4 out of 5 stars,3 out of 5 stars,13.2,-17
Malik Cunningham,NE,4 out of 5 stars,3 out of 5 stars,13.2,-14
Mike White,MIA,2 out of 5 stars,0 out of 5 stars,13.0,+2
Trevor Siemian,NYJ,4 out of 5 stars,4 out of 5 stars,12.1,-
Carson Wentz,FA,-,-,12.1,-
Jarrett Stidham,DEN,4 out of 5 stars,5 out of 5 stars,12.0,-
Clayton Tune,ARI,2 out of 5 stars,4 out of 5 stars,11.0,-12
Tyler Huntley,BAL,4 out of 5 stars,3 out of 5 stars,10.0,-
Teddy Bridgewater,DET,5 out of 5 stars,3 out of 5 stars,10.0,+9
Stetson Bennett,LAR,3 out of 5 stars,3 out of 5 stars,9.9,-8
Marcus Mariota,PHI,2 out of 5 stars,5 out of 5 stars,9.0,-6
