Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,TD Odds,FPTS,Salary,Avg,PPD
Josh Allen,QB,BUF,MIA,34,22.413,0.6592,4 out of 5 stars,A+,20,15.2,0.4071428571,,245,1.5,0.5,35.5,,-135,0.5744680851,23.06129787,34,22.413,0.6592
Justin Fields,QB,CHI,GB,30,20.277,0.6759,5 out of 5 stars,A,20,15.2,0.45,,200,1.1,0.6,55.5,,145,0.4081632653,20.52381633,30,20.277,0.6759
Dak Prescott,QB,DAL,WAS,29,20.941,0.7221,5 out of 5 stars,A+,20,15.2,0.7888888889,,275,1.7,0.4,11.5,,300,0.25,20.359,29,20.941,0.7221
Kyler Murray,QB,ARI,SEA,27,19.079,0.7066,3 out of 5 stars,A-,20,15.2,0.3428571429,,225.5,1.4,0.5,30.5,,195,0.3389830508,19.71232203,27,19.079,0.7066
Geno Smith,QB,SEA,ARI,26,18.309,0.7042,5 out of 5 stars,B+,20,15.2,0.3666666667,,258,1.6,0.4,10.5,,450,0.1818181818,18.69845455,26,18.309,0.7042
Nick Mullens,QB,MIN,DET,20,16.081,0.8040,5 out of 5 stars,C-,20,15.2,0,,258,1.5,1.3,7,,900,0.1,16.458,20,16.081,0.8040
Tyrod Taylor,QB,NYG,PHI,20,15.169,0.7584,4 out of 5 stars,C-,20,15.2,0,,203.5,0.9,0.6,26.5,,390,0.2040816327,15.36940816,20,15.169,0.7584
Rachaad White,RB,TB,CAR,29,16.282,0.5615,4 out of 5 stars,A+,10,11.3,0.3263157895,,,,,93,3.4,-135,0.5744680851,15.76029787,29,16.282,0.5615
Jonathan Taylor,RB,IND,HOU,29,15.254,0.5260,2 out of 5 stars,A+,10,11.3,0.2789473684,,,,,84,2.4,-175,0.6363636364,14.67709091,29,15.254,0.5260
James Cook,RB,BUF,MIA,28,14.357,0.5127,4 out of 5 stars,A,10,11.3,0.2777777778,,,,,84,2.6,120,0.4545454545,13.52363636,28,14.357,0.5127
Jahmyr Gibbs,RB,DET,MIN,28,13.815,0.4934,2 out of 5 stars,A-,10,11.3,0.1722222222,,,,,74,4,100,0.5,13.564,28,13.815,0.4934
Saquon Barkley,RB,NYG,PHI,27,14.454,0.5353,2 out of 5 stars,A,10,11.3,0.2058823529,,,,,82,3,-130,0.5652173913,14.30591304,27,14.454,0.5353
Travis Etienne Jr,RB,JAC,TEN,25,14.597,0.5839,3 out of 5 stars,A,10,11.3,0.2933333333,,,,,78,3,-150,0.6,14.124,25,14.597,0.5839
James Conner,RB,ARI,SEA,25,14.451,0.5780,4 out of 5 stars,A,10,11.3,0.2733333333,,,,,84,2.4,-120,0.5454545455,14.04436364,25,14.451,0.5780
Bijan Robinson,RB,ATL,NO,25,14.161,0.5664,3 out of 5 stars,A,10,11.3,0.2666666667,,,,,79,3.4,105,0.487804878,13.67312195,25,14.161,0.5664
Tony Pollard,RB,DAL,WAS,24,14.128,0.5887,4 out of 5 stars,A,10,11.3,0.2214285714,,,,,78,2.8,-150,0.6,14.012,24,14.128,0.5887
D Andre Swift,RB,PHI,NYG,23,4.260,0.1852,4 out of 5 stars,A-,10,11.3,0.2230769231,,,,,,,,,,23,4.260,0.1852
Kenneth Walker III,RB,SEA,ARI,22,13.763,0.6256,4 out of 5 stars,A,10,11.3,0.3916666667,,,,,71,2.4,-130,0.5652173913,12.80391304,22,13.763,0.6256
Devin Singletary,RB,HOU,IND,21,13.206,0.6288,4 out of 5 stars,B+,10,11.3,0.2090909091,,,,,77,1.8,-125,0.5555555556,13.03666667,21,13.206,0.6288
Aaron Jones,RB,GB,CHI,20,13.371,0.6685,3 out of 5 stars,B+,10,11.3,0.23,,,,,81,2.45,110,0.4761904762,13.27228571,20,13.371,0.6685
