Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Kirk Cousins,QB,MIN,PHI,28,16.6,0.5929,1 out of 5 stars,C
Johnny Mundt,TE,MIN,PHI,10,0.7,0.07,2 out of 5 stars,F
Nick Mullens,QB,MIN,PHI,20,0.2,0.01,1 out of 5 stars,F
Brandon Powell,WR,MIN,PHI,10,0.4,0.04,2 out of 5 stars,F
Josh Oliver,TE,MIN,PHI,10,2.7,0.27,2 out of 5 stars,F
Alexander Mattison,RB,MIN,PHI,20,12.7,0.635,4 out of 5 stars,B
Justin Jefferson,WR,MIN,PHI,39,20.6,0.5282,2 out of 5 stars,A+
Ty Chandler,RB,MIN,PHI,11,5,0.4545,4 out of 5 stars,F
Jalen Nailor,WR,MIN,PHI,10,0.7,0.07,2 out of 5 stars,F
Marcus Mariota,QB,PHI,MIN,20,0.4,0.02,4 out of 5 stars,F
Rashaad Penny,RB,PHI,MIN,12,5.6,0.4667,3 out of 5 stars,F
Dallas Goedert,TE,PHI,MIN,18,10.6,0.5889,4 out of 5 stars,A-
Boston Scott,RB,PHI,MIN,11,4.4,0.4,3 out of 5 stars,F
Olamide Zaccheaus,WR,PHI,MIN,10,1.9,0.19,3 out of 5 stars,F
Jalen Hurts,QB,PHI,MIN,42,24.8,0.5905,4 out of 5 stars,A+
Quez Watkins,WR,PHI,MIN,10,5.4,0.54,3 out of 5 stars,F
DeVonta Smith,WR,PHI,MIN,27,16.1,0.5963,3 out of 5 stars,A
Jack Stoll,TE,PHI,MIN,10,0.7,0.07,4 out of 5 stars,F
Grant Calcaterra,TE,PHI,MIN,10,0.8,0.08,4 out of 5 stars,F
Minnesota Vikings,DEF,MIN,PHI,10,5.6,0.56,1 out of 5 stars,F
Philadelphia Eagles,DEF,PHI,MIN,19,8.1,0.4263,3 out of 5 stars,B+
Jordan Addison,WR,MIN,PHI,17,11.3,0.6647,2 out of 5 stars,C
Britain Covey,WR,PHI,MIN,10,0,0,3 out of 5 stars,F
Myles Gaskin,RB,MIN,PHI,10,2,0.2,4 out of 5 stars,F
Nelson Agholor,WR,BAL,CIN,10,4,0.4,3 out of 5 stars,F
Patrick Ricard,RB,BAL,CIN,10,0.7,0.07,2 out of 5 stars,F
Lamar Jackson,QB,BAL,CIN,28,19.3,0.6893,3 out of 5 stars,A-
Mark Andrews,TE,BAL,CIN,24,12.5,0.5208,2 out of 5 stars,A
Gus Edwards,RB,BAL,CIN,13,8.5,0.6538,2 out of 5 stars,C-
Justice Hill,RB,BAL,CIN,16,8.8,0.55,2 out of 5 stars,C-
Devin Duvernay,WR,BAL,CIN,10,3.5,0.35,3 out of 5 stars,F
Tyler Huntley,QB,BAL,CIN,20,0.4,0.02,3 out of 5 stars,F
Rashod Bateman,WR,BAL,CIN,12,8.4,0.7,3 out of 5 stars,F
Tylan Wallace,WR,BAL,CIN,10,0.2,0.02,3 out of 5 stars,F
Charlie Kolar,TE,BAL,CIN,10,0.9,0.09,2 out of 5 stars,F
Isaiah Likely,TE,BAL,CIN,10,4.8,0.48,2 out of 5 stars,F
Tyler Boyd,WR,CIN,BAL,13,9.2,0.7077,3 out of 5 stars,D+
Joe Mixon,RB,CIN,BAL,19,15.1,0.7947,3 out of 5 stars,A-
Drew Sample,TE,CIN,BAL,10,1.4,0.14,3 out of 5 stars,F
Trayveon Williams,RB,CIN,BAL,10,3.5,0.35,3 out of 5 stars,F
Jake Browning,QB,CIN,BAL,20,0,0,3 out of 5 stars,F
Trenton Irwin,WR,CIN,BAL,10,0.9,0.09,3 out of 5 stars,F
Joe Burrow,QB,CIN,BAL,34,19,0.5588,3 out of 5 stars,B+
Tee Higgins,WR,CIN,BAL,18,14.5,0.8056,3 out of 5 stars,A
Chris Evans,RB,CIN,BAL,10,4.3,0.43,3 out of 5 stars,F
Chase Brown,RB,CIN,BAL,11,2.6,0.2364,3 out of 5 stars,F
Baltimore Ravens,DEF,BAL,CIN,17,7.1,0.4176,2 out of 5 stars,C+
Cincinnati Bengals,DEF,CIN,BAL,13,6.5,0.5,3 out of 5 stars,C-
Charlie Jones,WR,CIN,BAL,10,0.5,0.05,3 out of 5 stars,F
Andrei Iosivas,WR,CIN,BAL,10,0.3,0.03,3 out of 5 stars,F
Zay Flowers,WR,BAL,CIN,16,12.6,0.7875,3 out of 5 stars,B-
Mitchell Wilcox,TE,CIN,BAL,10,0.7,0.07,3 out of 5 stars,F
Josh Johnson,QB,BAL,CIN,20,0,0,3 out of 5 stars,F
Aaron Jones,RB,GB,ATL,20,9.8,0.49,4 out of 5 stars,B
Jordan Love,QB,GB,ATL,26,16,0.6154,5 out of 5 stars,C-
AJ Dillon,RB,GB,ATL,16,11.5,0.7188,4 out of 5 stars,C+
Josiah Deguara,TE,GB,ATL,10,1.3,0.13,3 out of 5 stars,F
Christian Watson,WR,GB,ATL,23,7.2,0.313,4 out of 5 stars,D+
Romeo Doubs,WR,GB,ATL,17,10.7,0.6294,4 out of 5 stars,C
Samori Toure,WR,GB,ATL,10,2.6,0.26,4 out of 5 stars,F
Sean Clifford,QB,GB,ATL,20,0.1,0.005,5 out of 5 stars,F
Malik Heath,WR,GB,ATL,10,0.7,0.07,4 out of 5 stars,F
Cordarrelle Patterson,RB,ATL,GB,11,3.5,0.3182,4 out of 5 stars,F
Keith Smith,RB,ATL,GB,10,0.3,0.03,4 out of 5 stars,F
Taylor Heinicke,QB,ATL,GB,20,0.5,0.025,2 out of 5 stars,F
Jonnu Smith,TE,ATL,GB,10,3.1,0.31,4 out of 5 stars,F
Mack Hollins,WR,ATL,GB,10,6.2,0.62,2 out of 5 stars,F
Logan Woodside,QB,ATL,GB,20,0,0,2 out of 5 stars,F
KhaDarel Hodge,WR,ATL,GB,10,0.9,0.09,2 out of 5 stars,F
Scott Miller,WR,ATL,GB,10,1,0.1,2 out of 5 stars,F
Kyle Pitts,TE,ATL,GB,15,9.4,0.6267,4 out of 5 stars,C+
Drake London,WR,ATL,GB,14,11.2,0.8,2 out of 5 stars,C+
Desmond Ridder,QB,ATL,GB,20,12.9,0.645,2 out of 5 stars,F
Tyler Allgeier,RB,ATL,GB,20,10.5,0.525,4 out of 5 stars,C
John FitzPatrick,TE,ATL,GB,10,0.3,0.03,4 out of 5 stars,F
Josh Ali,WR,ATL,GB,10,0,0,2 out of 5 stars,F
Bijan Robinson,RB,ATL,GB,27,17.5,0.6481,4 out of 5 stars,A
Green Bay Packers,DEF,GB,ATL,15,6.7,0.4467,3 out of 5 stars,C
Atlanta Falcons,DEF,ATL,GB,14,6.2,0.4429,2 out of 5 stars,D
Dontayvion Wicks,WR,GB,ATL,10,1.3,0.13,4 out of 5 stars,F
Tucker Kraft,TE,GB,ATL,10,1.4,0.14,3 out of 5 stars,F
Emanuel Wilson,RB,GB,ATL,10,0.7,0.07,4 out of 5 stars,F
Jayden Reed,WR,GB,ATL,13,8.5,0.6538,4 out of 5 stars,D
Luke Musgrave,TE,GB,ATL,15,8.7,0.58,3 out of 5 stars,D+
MyCole Pruitt,TE,ATL,GB,10,0.7,0.07,4 out of 5 stars,F
Ben Sims,TE,GB,ATL,10,0.6,0.06,3 out of 5 stars,F
Godwin Igwebuike,RB,ATL,GB,10,0.3,0.03,4 out of 5 stars,F
Parker Hesse,TE,ATL,GB,10,0.4,0.04,4 out of 5 stars,F
Brian Hoyer,QB,LV,BUF,20,0.4,0.02,3 out of 5 stars,F
Brandon Bolden,RB,LV,BUF,10,0.6,0.06,3 out of 5 stars,F
Davante Adams,WR,LV,BUF,33,16.2,0.4909,4 out of 5 stars,A
Jimmy Garoppolo,QB,LV,BUF,20,14.2,0.71,3 out of 5 stars,F
Ameer Abdullah,RB,LV,BUF,10,1.8,0.18,3 out of 5 stars,F
DeAndre Carter,WR,LV,BUF,10,1.9,0.19,4 out of 5 stars,F
Austin Hooper,TE,LV,BUF,10,3.7,0.37,2 out of 5 stars,F
Jakob Johnson,RB,LV,BUF,10,0.5,0.05,3 out of 5 stars,F
