Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Josh Allen,QB,BUF,SF,35,21.5,0.614,2 out of 5 stars,A,20,15,0.433333333,,225,1.5,0.5,33,,130,0.434782609,21.02408696,21.5,35,21.167,0.6048
Bo Nix,QB,DEN,CLE,29,18.4,0.635,4 out of 5 stars,B,20,15,0.377777778,,220,1.4,0.4,20,,250,0.285714286,18.10857143,18.4,29,18.196,0.6274
Justin Herbert,QB,LAC,ATL,28,19.7,0.704,4 out of 5 stars,A-,20,15,0.5875,,249,1.5,0.5,22,,280,0.263157895,19.62357895,19.7,28,19.647,0.7017
Anthony Richardson,QB,IND,NE,25,18,0.72,5 out of 5 stars,C+,20,15,0.6,,183,0.8,0.7,42,,175,0.363636364,16.80290909,18,25,17.162,0.6865
Matthew Stafford,QB,LA,NO,24,17.5,0.729,2 out of 5 stars,C,20,15,0.625,,259,1.6,0.5,0,,1200,0.076923077,16.79538462,17.5,24,17.007,0.7086
C J Stroud,QB,HOU,JAC,23,18.5,0.804,5 out of 5 stars,B,20,15,1.166666667,,261,1.5,0.5,10,,550,0.153846154,18.07076923,18.5,23,18.2,0.7913
Saquon Barkley,RB,PHI,BAL,40,19,0.475,3 out of 5 stars,A+,10,8.3,0.356666667,,,,,108,2.5,-185,0.649122807,17.36589474,19,40,17.856,0.4464
Joe Mixon,RB,HOU,JAC,37,18.9,0.511,3 out of 5 stars,A+,10,8.3,0.392592593,,,,,105,2.7,-200,0.666666667,17.282,18.9,37,17.767,0.4802
Jahmyr Gibbs,RB,DET,CHI,34,17.8,0.524,4 out of 5 stars,A,10,8.3,0.395833333,,,,,90,3,-175,0.636363636,15.64909091,17.8,34,16.294,0.4792
Alvin Kamara,RB,NO,LA,33,18.1,0.549,3 out of 5 stars,A,10,8.3,0.426086957,,,,,102,4.8,-153,0.604743083,17.70901186,18.1,33,17.826,0.5402
Bijan Robinson,RB,ATL,LAC,33,17.5,0.53,2 out of 5 stars,A,10,8.3,0.4,,,,,103,3.6,-155,0.607843137,17.16458824,17.5,33,17.265,0.5232
De Von Achane,RB,MIA,GB,32,16.9,0.528,3 out of 5 stars,A,10,8.3,0.390909091,,,,,86,2.3,-115,0.534883721,14.1267907,16.9,32,14.959,0.4675
Christian McCaffrey,RB,SF,BUF,30,16.4,0.547,4 out of 5 stars,A,10,8.3,0.405,,,,,96,2.3,-138,0.579831933,15.49963025,16.4,30,15.77,0.5257
Chase Brown,RB,CIN,PIT,29,15.3,0.528,4 out of 5 stars,A-,10,8.3,0.368421053,,,,,91,4.3,-155,0.607843137,16.28458824,15.3,29,15.989,0.5514
Jonathan Taylor,RB,IND,NE,28,15.6,0.557,4 out of 5 stars,A-,10,8.3,0.405555556,,,,,90,1.7,-110,0.523809524,14.13771429,15.6,28,14.576,0.5206
Rico Dowdle,RB,DAL,NYG,23,12.3,0.535,4 out of 5 stars,B-,10,8.3,0.307692308,,,,,,,,,,12.3,23,3.69,0.1604
Isiah Pacheco,RB,KC,LV,18,9.4,0.522,4 out of 5 stars,C,10,8.3,0.1375,,,,,,,,,,9.4,18,2.82,0.1567
Travis Etienne Jr,RB,JAC,HOU,15,9.5,0.633,2 out of 5 stars,C,10,8.3,0.24,,,,,47,2.3,175,0.363636364,8.800909091,9.5,15,9.011,0.6007
Gus Edwards,RB,LAC,ATL,11,9.8,0.891,3 out of 5 stars,C,10,8.3,1.5,,,,,50,1,110,0.476190476,9.174285714,9.8,11,9.362,0.8511
Jeremy McNichols,RB,WAS,TEN,10,8.3,0.83,3 out of 5 stars,C-,10,8.3,0,,,,,18,,245,0.289855073,3.925391304,8.3,10,5.238,0.5238
Nico Collins,WR,HOU,JAC,39,15.9,0.408,4 out of 5 stars,A+,10,8.3,0.262068966,,,,,85,5.6,125,0.444444444,15.23933333,15.9,39,15.438,0.3958
Puka Nacua,WR,LA,NO,33,14.6,0.442,2 out of 5 stars,A+,10,8.3,0.273913044,,,,,81,6.4,125,0.444444444,15.26333333,14.6,33,15.064,0.4565
A J Brown,WR,PHI,BAL,33,14.6,0.442,3 out of 5 stars,A+,10,8.3,0.273913044,,,,,88,5.6,120,0.454545455,15.62763636,14.6,33,15.319,0.4642
Justin Jefferson,WR,MIN,ARI,31,14.4,0.465,4 out of 5 stars,A+,10,8.3,0.290476191,,,,,81,5.6,100,0.5,15.202,14.4,31,14.961,0.4826
Mike Evans,WR,TB,CAR,28,13.3,0.475,2 out of 5 stars,A,10,8.3,0.277777778,,,,,64,4.6,130,0.434782609,12.38608696,13.3,28,12.66,0.4522
George Pickens,WR,PIT,CIN,28,13.1,0.468,2 out of 5 stars,A,10,8.3,0.266666667,,,,,72,4.5,130,0.434782609,13.17808696,13.1,28,13.155,0.4698
Tyreek Hill,WR,MIA,GB,25,11.6,0.464,2 out of 5 stars,A,10,8.3,0.22,,,,,,,,,,11.6,25,3.48,0.1392
Ladd McConkey,WR,LAC,ATL,25,11.6,0.464,5 out of 5 stars,A,10,8.3,0.22,,,,,68,5.4,150,0.4,13.016,11.6,25,12.591,0.5036
Brian Thomas Jr,WR,JAC,HOU,22,10.5,0.477,4 out of 5 stars,B,10,8.3,0.183333333,,,,,63,4.5,200,0.333333333,11.518,10.5,22,11.213,0.5097
Christian Watson,WR,GB,MIA,16,9,0.563,2 out of 5 stars,C,10,8.3,0.116666667,,,,,,,,,,9,16,2.7,0.1688
Joshua Palmer,WR,LAC,ATL,13,7.3,0.562,5 out of 5 stars,D+,10,8.3,-0.333333333,,,,,39,3.4,275,0.266666667,7.894,7.3,13,7.716,0.5935
Dontayvion Wicks,WR,GB,MIA,10,6.9,0.69,2 out of 5 stars,D,10,8.3,0,,,,,,,,,,6.9,10,2.07,0.207
Adam Thielen,WR,CAR,TB,18,7.3,0.406,3 out of 5 stars,D+,10,8.3,-0.125,,,,,39,3.6,270,0.27027027,8.031081081,7.3,18,7.812,0.434
Xavier Legette,WR,CAR,TB,19,8.5,0.447,3 out of 5 stars,C,10,8.3,0.022222222,,,,,39,3.5,225,0.307692308,8.235538462,8.5,19,8.315,0.4376
T J Hockenson,TE,MIN,ARI,19,9.8,0.516,2 out of 5 stars,B,10,5.2,0.511111111,,,,,41,4.4,200,0.333333333,9.13,9.8,19,9.331,0.4911
Sam LaPorta,TE,DET,CHI,16,7.8,0.488,3 out of 5 stars,C,10,5.2,0.433333333,,,,,,,,,,7.8,16,2.34,0.1463
Dallas Goedert,TE,PHI,BAL,15,8.3,0.553,3 out of 5 stars,C+,10,5.2,0.62,,,,,44,4.6,300,0.25,8.98,8.3,15,8.776,0.5851
Travis Kelce,TE,KC,LV,24,11.5,0.479,5 out of 5 stars,A+,10,5.2,0.45,,,,,,,,,,11.5,24,3.45,0.1438
