Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Brock Purdy,QB,SF,SEA,27,18.4,0.6815,3 out of 5 stars,B,20,10,1.1999999999999997
Geno Smith,QB,SEA,SF,28,17,0.6071,4 out of 5 stars,C-,20,10,0.875
Trevor Lawrence,QB,JAC,CHI,25,15.7,0.628,1 out of 5 stars,D,20,10,1.14
Caleb Williams,QB,CHI,JAC,25,18.1,0.724,5 out of 5 stars,B-,20,10,1.6200000000000003
Baker Mayfield,QB,TB,NO,30,17.8,0.5933,1 out of 5 stars,C+,20,10,0.78
Derek Carr,QB,NO,TB,25,3.6,0.144,5 out of 5 stars,F,20,10,-1.28
Jake Haener,QB,NO,TB,20,0,0,5 out of 5 stars,F,20,10,0
Spencer Rattler,QB,NO,TB,20,0.2,0.01,5 out of 5 stars,F,20,10,0
Kyler Murray,QB,ARI,GB,31,18.8,0.6065,3 out of 5 stars,B,20,10,0.8
Jordan Love,QB,GB,ARI,30,19.6,0.6533,3 out of 5 stars,A,20,10,0.9600000000000002
Joe Flacco,QB,IND,TEN,27,14.8,0.5481,3 out of 5 stars,D-,20,10,0.6857142857142858
Anthony Richardson,QB,IND,TEN,27,13.3,0.4926,3 out of 5 stars,F,20,10,0.47142857142857153
Will Levis,QB,TEN,IND,21,15.5,0.7381,5 out of 5 stars,D,20,10,5.5
Jameis Winston,QB,CLE,PHI,20,0,0,3 out of 5 stars,F,20,10,0
Deshaun Watson,QB,CLE,PHI,23,14.3,0.6217,3 out of 5 stars,F,20,10,1.4333333333333336
Jalen Hurts,QB,PHI,CLE,28,22.5,0.8036,2 out of 5 stars,A,20,10,1.5625
C J Stroud,QB,HOU,NE,27,18.3,0.6778,2 out of 5 stars,B-,20,10,1.1857142857142857
Jacoby Brissett,QB,NE,HOU,21,0,0,3 out of 5 stars,F,20,10,-10
Drake Maye,QB,NE,HOU,21,11.6,0.5524,3 out of 5 stars,F,20,10,1.5999999999999996
Jayden Daniels,QB,WAS,BAL,36,21.2,0.5889,4 out of 5 stars,A,20,10,0.7
Lamar Jackson,QB,BAL,WAS,38,23.6,0.6211,4 out of 5 stars,A+,20,10,0.7555555555555556
Justin Herbert,QB,LAC,DEN,22,13.8,0.6273,2 out of 5 stars,F,20,10,1.9000000000000004
Bo Nix,QB,DEN,LAC,24,12.4,0.5167,2 out of 5 stars,F,20,10,0.6000000000000001
Justin Fields,QB,PIT,LV,31,18.6,0.6,5 out of 5 stars,B,20,10,0.781818181818182
Gardner Minshew II,QB,LV,PIT,21,0,0,1 out of 5 stars,F,20,10,-10
Aidan O Connell,QB,LV,PIT,20,10,0.5,1 out of 5 stars,F,20,10,0
Kirk Cousins,QB,ATL,CAR,27,17.9,0.663,5 out of 5 stars,C+,20,10,1.1285714285714283
Andy Dalton,QB,CAR,ATL,21,16.2,0.7714,3 out of 5 stars,D+,20,10,6.199999999999999
Jared Goff,QB,DET,DAL,27,17.4,0.6444,4 out of 5 stars,C,20,10,1.057142857142857
Dak Prescott,QB,DAL,DET,29,19.1,0.6586,4 out of 5 stars,B+,20,10,1.0111111111111113
Joe Burrow,QB,CIN,NYG,30,20.3,0.6767,3 out of 5 stars,A,20,10,1.03
Daniel Jones,QB,NYG,CIN,26,16.7,0.6423,5 out of 5 stars,C-,20,10,1.1166666666666665
Josh Allen,QB,BUF,NYJ,32,18.9,0.5906,1 out of 5 stars,B+,20,10,0.7416666666666666
Aaron Rodgers,QB,NYJ,BUF,23,15.1,0.6565,1 out of 5 stars,D,20,10,1.7
Kyle Juszczyk,RB,SF,SEA,10,2.3,0.23,3 out of 5 stars,F,10,9.3,0
Deebo Samuel Sr,WR,SF,SEA,24,12.2,0.5083,2 out of 5 stars,A,10,9.3,0.20714285714285705
Brandon Aiyuk,WR,SF,SEA,24,12.5,0.5208,2 out of 5 stars,A,10,9.3,0.2285714285714285
Jauan Jennings,WR,SF,SEA,21,7.8,0.3714,2 out of 5 stars,C-,10,9.3,-0.13636363636363644
Jordan Mason,RB,SF,SEA,30,16.5,0.55,3 out of 5 stars,A+,10,9.3,0.36
Isaac Guerendo,RB,SF,SEA,10,4.1,0.41,3 out of 5 stars,F,10,9.3,0
Tyler Lockett,WR,SEA,SF,18,8,0.4444,3 out of 5 stars,C,10,9.3,-0.1625000000000001
DK Metcalf,WR,SEA,SF,28,12.6,0.45,3 out of 5 stars,A,10,9.3,0.18333333333333326
Kenneth Walker III,RB,SEA,SF,31,14.5,0.4677,3 out of 5 stars,A,10,9.3,0.24761904761904757
Jaxon Smith Njigba,WR,SEA,SF,23,9.8,0.4261,3 out of 5 stars,B-,10,9.3,0.038461538461538464
Zach Charbonnet,RB,SEA,SF,21,7.3,0.3476,3 out of 5 stars,C-,10,9.3,-0.1818181818181819
Kenny McIntosh,RB,SEA,SF,10,0,0,3 out of 5 stars,F,10,9.3,0
Jake Bobo,WR,SEA,SF,10,1.7,0.17,3 out of 5 stars,F,10,9.3,0
Christian Kirk,WR,JAC,CHI,22,9.3,0.4227,1 out of 5 stars,C+,10,9.3,0
D Ernest Johnson,RB,JAC,CHI,10,0.9,0.09,4 out of 5 stars,F,10,9.3,0
Gabe Davis,WR,JAC,CHI,11,6.1,0.5545,1 out of 5 stars,D,10,9.3,-3.200000000000001
